Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Panel.EM,Panel.Irradiance,Panel.PVGen
16,27,0.11765515293479635,OPVTypical,1.015606240367848,597.2027823212111,1990.3713275073526
-22,26,0.13934496725782194,OPVTypical,1.0087214071010515,539.4168738425243,1705.75707446411
-20,29,0.1471583760785049,OPVTypical,1.0097296313534738,510.6628825556269,1599.9759201106797
-6,20,0.16433387477367092,OPVTypical,1.0227249720816969,427.50906824417007,1402.750117462911
-7,29,0.17471092742890118,OPVTypical,1.0147123497436223,414.3398239600071,1374.691942738029
2,30,0.1753389092626503,OPVTypical,1.0177544930852682,423.2112310187408,1387.2725634249455
-15,30,0.15082505558776374,OPVTypical,1.0120740551344238,489.5600595049098,1572.9740865152844
12,22,0.12690295739840032,OPVTypical,1.0072768119252764,571.4653193692633,1881.0013628626475
-11,28,0.15058950233831386,OPVTypical,1.0126189750578745,484.9733289605861,1583.0619114461113
18,24,0.11586728781143035,OPVTypical,1.0094689439033495,613.2405595824538,2039.843631195861
46,22,0.20890959945481136,OPVTypical,1.0357459445911583,362.28575767999047,1178.3993647328564
51,20,0.26073165173721063,OPVTypical,1.0529391512683182,312.1613525950335,982.3631232524373
6,23,0.14473392350721595,OPVTypical,1.010793959295018,506.172828488372,1643.2527793620914
9,28,0.13385105301604847,OPVTypical,1.0216272541800098,541.5921143129316,1802.0806170837795
-21,27,0.14209421549955498,OPVTypical,1.0109805649680976,524.0676433046431,1660.9570491566724
52,25,0.2597489029501168,OPVTypical,1.0555248648636528,322.53207855078324,1000.90833905338
-10,20,0.1600470708012885,OPVTypical,1.0178334565959182,450.3976224773833,1467.9101976159675
50,27,0.2439390560057864,OPVTypical,1.0449473852204378,330.9362561641055,1040.7128392321447
9,28,0.13385105301604847,OPVTypical,1.0216272541800098,541.5921143129316,1802.0806170837795
-10,20,0.1600470708012885,OPVTypical,1.0178334565959182,450.3976224773833,1467.9101976159675
49,21,0.2581889058538998,OPVTypical,1.047514733532084,316.3128394684229,1022.4548126608336
17,30,0.11785613212006585,OPVTypical,1.0189795138629452,598.6412066497345,1976.4866428973685
54,24,0.3012979945469036,OPVTypical,1.0645085295006362,288.4464238284504,910.9434415035428
9,20,0.13558765420077173,OPVTypical,1.0081449832960383,532.5984704093569,1759.2637909918155
-28,26,0.1511706050464138,OPVTypical,1.0127288997582082,501.1155414518518,1583.9752059951238
-29,23,0.14894055109776108,OPVTypical,1.0112920165984598,486.8294852751378,1592.4486654564969
-20,26,0.13927674162198664,OPVTypical,1.010634503819807,540.1042159110954,1702.3409419587383
-19,24,0.14259455252986195,OPVTypical,1.014405734763741,531.8957508103966,1666.2903103115357
44,25,0.19690090733778068,OPVTypical,1.036254815978416,381.7005825356745,1233.7051749267098
11,30,0.13297070962406166,OPVTypical,1.0293325046932265,531.6423697420405,1770.7683692373969
-21,23,0.1381376932053783,OPVTypical,1.0107426122259202,546.2980491385946,1727.5073517978797
-25,20,0.13563161092141668,OPVTypical,1.0116162643120574,532.0066798776902,1749.4686965058481
-16,28,0.14802586030138226,OPVTypical,1.0089268259570192,497.1527163058147,1598.550616914733
-20,24,0.14031488884491564,OPVTypical,1.011270965232976,532.9360301080346,1696.081354880648
0,27,0.1775061393835668,OPVTypical,1.023425223385479,421.00762264827097,1361.9070068913015
-9,25,0.16005716982566578,OPVTypical,1.0184044956655338,452.3837095919448,1483.9212872829653
23,23,0.12155812525897736,OPVTypical,1.0101384936301987,585.9532569602491,1947.2309469034444
-9,25,0.16005716982566578,OPVTypical,1.0184044956655338,452.3837095919448,1483.9212872829653
-21,28,0.1450597667453762,OPVTypical,1.0098366047793244,519.1517978878582,1621.3170254905826
-10,20,0.1600470708012885,OPVTypical,1.0178334565959182,450.3976224773833,1467.9101976159675
38,28,0.16250306654593574,OPVTypical,1.025193873939706,439.93102676942976,1473.832782627529
40,29,0.17936435125915992,OPVTypical,1.0330254132965493,404.8927939056549,1336.3921354568322
56,22,0.31301230999192536,OPVTypical,1.0681131586813577,285.85465697164744,925.2415939010643
-2,25,0.17929345335229427,OPVTypical,1.020418286716332,398.3676001175434,1324.7706769843658
30,20,0.13118826609923087,OPVTypical,1.0151018509008425,541.1990330652575,1794.031013927811
45,25,0.2014172655641728,OPVTypical,1.0390125148207432,371.16055751014886,1214.1383326252458
-7,26,0.16701497710572727,OPVTypical,1.012709491917115,436.2389195593928,1438.8148500123584
-32,26,0.16786645336278824,OPVTypical,1.0203811691170188,436.72488286692635,1424.4543183330404
24,27,0.1204048612081323,OPVTypical,1.0104145954115846,583.9837905965562,1934.2342060153235
5,20,0.1491204946966639,OPVTypical,1.0154416639465471,484.6807833141542,1575.2762688125347
32,23,0.1347605553479363,OPVTypical,1.016217521907289,530.6374589005082,1761.3491291950463
23,30,0.12164953840390665,OPVTypical,1.010953926263526,580.2318724421385,1924.0265688959084
12,28,0.1258499334667275,OPVTypical,1.02092164933895,569.7700628050574,1891.1633698599842
-23,28,0.145497141428044,OPVTypical,1.0107581229221665,513.3489453970855,1620.7365545310274
22,22,0.11995232607184066,OPVTypical,1.0094941619151243,597.6783986502486,1983.8617258955999
29,26,0.12645229422684018,OPVTypical,1.0132026601171906,565.7534204834228,1883.6368823459106
16,26,0.11710455453724256,OPVTypical,1.0116753187678695,598.6107941261828,2000.8652648598527
-16,25,0.14661855437240834,OPVTypical,1.0153811478406825,512.5220495703513,1607.8937161329666
-6,29,0.16675789823157655,OPVTypical,1.0138220394282949,446.5818631296573,1443.1925364970325
