Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Panel.EM,Panel.Irradiance,Panel.PVGen
-20,29,0.3087263902019424,OPVTypical,1.0097296313534738,510.6628825556269,1052.3157989929516
16,27,0.2475478127657827,OPVTypical,1.015606240367848,597.2027823212111,1305.6881460236611
18,24,0.2438478382492639,OPVTypical,1.0094689439033495,613.2405595824538,1337.8804670073362
-22,26,0.2925951777632433,OPVTypical,1.0087214071010515,539.4168738425243,1121.0203014103909
46,22,0.4349721157239813,OPVTypical,1.0357459445911583,362.28575767999047,779.4581565546323
12,22,0.2667383294217006,OPVTypical,1.0072768119252764,571.4653193692633,1234.8694674575008
-6,20,0.3440808799849621,OPVTypical,1.0227249720816969,427.50906824417007,924.1650815931264
-7,29,0.3654194757103373,OPVTypical,1.0147123497436223,414.3398239600071,906.5074271549544
2,30,0.3666975640282133,OPVTypical,1.0177544930852682,423.2112310187408,914.8315711398494
-11,28,0.315810770479755,OPVTypical,1.0126189750578745,484.9733289605861,1041.487467027988
-15,30,0.31627645284785033,OPVTypical,1.0120740551344238,489.5600595049098,1034.9336354907998
50,27,0.5059164139894741,OPVTypical,1.0449473852204378,330.9362561641055,690.2945551266793
6,23,0.3036054199263528,OPVTypical,1.010793959295018,506.172828488372,1080.4091919362247
9,28,0.28114599537846163,OPVTypical,1.0216272541800098,541.5921143129316,1183.8173229492165
-21,27,0.2982756414204743,OPVTypical,1.0109805649680976,524.0676433046431,1091.868993426865
51,20,0.5397164732969816,OPVTypical,1.0529391512683182,312.1613525950335,652.3087130804038
52,25,0.5377392301167163,OPVTypical,1.0555248648636528,322.53207855078324,664.4391730985584
-10,20,0.3352137854463161,OPVTypical,1.0178334565959182,450.3976224773833,966.7069854480814
49,21,0.5345552682477077,OPVTypical,1.047514733532084,316.3128394684229,678.155080004245
17,30,0.2479612726488161,OPVTypical,1.0189795138629452,598.6412066497345,1296.6157757243316
9,28,0.28114599537846163,OPVTypical,1.0216272541800098,541.5921143129316,1183.8173229492165
-10,20,0.3352137854463161,OPVTypical,1.0178334565959182,450.3976224773833,966.7069854480814
-25,20,0.28494724253739645,OPVTypical,1.0116162643120574,532.0066798776902,1149.2004222450646
54,24,0.6210876936124733,OPVTypical,1.0645085295006362,288.4464238284504,606.1416897242816
-29,23,0.31250942143092725,OPVTypical,1.0112920165984598,486.8294852751378,1047.1941944762882
9,20,0.2847150798088542,OPVTypical,1.0081449832960383,532.5984704093569,1155.743530754256
44,25,0.4104993374170347,OPVTypical,1.036254815978416,381.7005825356745,815.1806588064927
-20,26,0.2924553388238209,OPVTypical,1.010634503819807,540.1042159110954,1118.7418446474735
11,30,0.2793216895178315,OPVTypical,1.0293325046932265,531.6423697420405,1163.191565149382
-16,28,0.3105241715562482,OPVTypical,1.0089268259570192,497.1527163058147,1051.42858606148
-28,26,0.3170690809217808,OPVTypical,1.0127288997582082,501.1155414518518,1041.9704990027021
-19,24,0.2993179039720016,OPVTypical,1.014405734763741,531.8957508103966,1095.387660892468
56,22,0.6445364226116335,OPVTypical,1.0681131586813577,285.85465697164744,615.48434434149
-21,23,0.290104224284916,OPVTypical,1.0107426122259202,546.2980491385946,1135.1632831228267
-20,24,0.29460384333286355,OPVTypical,1.0112709652329759,532.9360301080346,1114.7378317916416
-10,20,0.3352137854463161,OPVTypical,1.0178334565959182,450.3976224773833,966.7069854480814
0,27,0.3711504681821763,OPVTypical,1.023425223385479,421.00762264827097,898.317539830819
38,28,0.3400963510243624,OPVTypical,1.025193873939706,439.93102676942976,971.0478320829424
-9,25,0.3353205394510264,OPVTypical,1.0184044956655338,452.3837095919448,977.166831882998
-21,28,0.3043978719321524,OPVTypical,1.0098366047793244,519.1517978878582,1066.1340872431786
23,23,0.2556804970969791,OPVTypical,1.0101384936301987,585.9532569602491,1277.8704446547115
-2,25,0.37481281233242,OPVTypical,1.020418286716332,398.3676001175434,873.9951600030593
-9,25,0.3353205394510264,OPVTypical,1.0184044956655338,452.3837095919448,977.166831882998
40,29,0.37469440265312987,OPVTypical,1.0330254132965493,404.8927939056549,881.7819879577537
45,25,0.4196875533680615,OPVTypical,1.0390125148207432,371.16055751014886,802.5325242870772
30,20,0.2755744021850233,OPVTypical,1.0151018509008425,541.1990330652575,1178.4337518876428
-7,26,0.3496409970444768,OPVTypical,1.012709491917115,436.2389195593928,948.0572049857567
-32,26,0.35155426093043685,OPVTypical,1.0203811691170188,436.72488286692635,938.2677516035741
-23,28,0.3052987291709681,OPVTypical,1.0107581229221665,513.3489453970855,1065.8189903055231
5,20,0.3126766347648225,OPVTypical,1.0154416639465471,484.6807833141542,1036.169918581772
22,22,0.2523455646734736,OPVTypical,1.0094941619151243,597.6783986502486,1301.6752891334559
12,28,0.2645437470043703,OPVTypical,1.02092164933895,569.7700628050574,1241.5342860749092
32,23,0.2829390372276234,OPVTypical,1.016217521907289,530.6374589005082,1157.3050645871185
24,27,0.2532734619259425,OPVTypical,1.0104145954115846,583.9837905965562,1269.240060189037
16,26,0.2464083299360319,OPVTypical,1.0116753187678695,598.6107941261828,1312.4837657281528
23,30,0.2558481408576023,OPVTypical,1.010953926263526,580.2318724421385,1262.7608272860036
29,26,0.2657924544172464,OPVTypical,1.0132026601171906,565.7534204834228,1236.737864169729
-16,25,0.3076283329261894,OPVTypical,1.0153811478406825,512.5220495703513,1057.4078184674465
-6,29,0.3491144225695697,OPVTypical,1.0138220394282949,446.5818631296573,950.8649025703506
27,20,0.26488866795015564,OPVTypical,1.0164091608011572,562.0239123217208,1227.2849915888194
