Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Panel.EM,Panel.Irradiance,Panel.PVGen
-7,29,0.3653192537658111,OPVTypical2,1.0175738798305451,414.3398239600071,906.7578196792907
-22,26,0.2925512198635884,OPVTypical2,1.0104232281899397,539.4168738425243,1121.1903606177486
16,27,0.2474813879925733,OPVTypical2,1.018439427795674,597.2027823212111,1306.0403406492046
-6,20,0.34397030139244,OPVTypical2,1.0271839040391326,427.50906824417007,924.4594429101579
12,22,0.2666968970739944,OPVTypical2,1.008744395382374,571.4653193692633,1235.0602195021052
2,30,0.3666349009979882,OPVTypical2,1.0210845805190385,423.2112310187408,914.9871700651644
-11,28,0.3157483206767441,OPVTypical2,1.0150496324947276,484.9733289605861,1041.696788287994
18,24,0.2438170391259796,OPVTypical2,1.0113703843541648,613.2405595824538,1338.0501009967304
-20,29,0.30867690021607586,OPVTypical2,1.011620827262975,510.6628825556269,1052.4851043609872
46,22,0.4347652778482636,OPVTypical2,1.041916752012734,362.28575767999047,779.8309897183675
-15,30,0.3162101685463137,OPVTypical2,1.0144650332559455,489.5600595049098,1035.1528030654351
-21,27,0.2982318374998313,OPVTypical2,1.0132411502688272,524.0676433046431,1092.030456677887
9,28,0.2810515587375724,OPVTypical2,1.0252855242382055,541.5921143129316,1184.20805257695
50,27,0.5055497719129045,OPVTypical2,1.0529290873614592,330.9362561641055,690.7998412888207
51,20,0.5392241773309503,OPVTypical2,1.0622343178251887,312.1613525950335,652.9089262040494
9,28,0.2810515587375724,OPVTypical2,1.0252855242382055,541.5921143129316,1184.20805257695
52,25,0.5372586532192825,OPVTypical2,1.0651844905191328,322.53207855078324,665.0391232162414
-10,20,0.3350821652847185,OPVTypical2,1.0216846559029906,450.3976224773833,967.0815108191878
49,21,0.5340638757542049,OPVTypical2,1.056161475007376,316.3128394684229,678.7837864142638
6,23,0.3035179409327733,OPVTypical2,1.0132040782835352,506.172828488372,1080.7191789459964
-10,20,0.3350821652847185,OPVTypical2,1.0216846559029906,450.3976224773833,967.0815108191878
17,30,0.2478792429389481,OPVTypical2,1.0225448200056937,598.6412066497345,1297.0379242490035
-25,20,0.2848774891278538,OPVTypical2,1.0139616847066768,532.0066798776902,1149.4840416474467
9,20,0.28466791605075503,OPVTypical2,1.0098797363555383,532.5984704093569,1155.9338732390138
-28,26,0.3169798215908327,OPVTypical2,1.015291993283946,501.1155414518518,1042.2601175502202
-19,24,0.2992398057075176,OPVTypical2,1.0172008354372166,531.8957508103966,1095.6748756179484
-29,23,0.3124255351924775,OPVTypical2,1.0134456566227676,486.8294852751378,1047.4763789909398
44,25,0.4102958032472419,OPVTypical2,1.0427437156976884,381.7005825356745,815.586074569943
54,24,0.6203889433901816,OPVTypical2,1.0759711674072527,288.4464238284504,606.830764655199
-21,23,0.2900494123523898,OPVTypical2,1.0128815343655213,546.2980491385946,1135.3786923857388
11,30,0.2792442759550103,OPVTypical2,1.0344666226757189,531.6423697420405,1163.5073034019176
-16,28,0.3104801093874935,OPVTypical2,1.0106913597571283,497.1527163058147,1051.5795273058
-20,26,0.2924090492364558,OPVTypical2,1.012741611893473,540.1042159110954,1118.920243174442
56,22,0.6438437523630018,OPVTypical2,1.0801182652186243,285.85465697164744,616.1547460678286
0,27,0.3709386325359759,OPVTypical2,1.0277386455841393,421.00762264827097,898.8311067850792
23,23,0.2556542782315465,OPVTypical2,1.0120181165536704,585.9532569602491,1278.0028633513216
-9,25,0.3351881943614557,OPVTypical2,1.021825866898868,452.3837095919448,977.5544782850824
-9,25,0.3351881943614557,OPVTypical2,1.021825866898868,452.3837095919448,977.5544782850824
-10,20,0.3350821652847185,OPVTypical2,1.0216846559029906,450.3976224773833,967.0815108191878
-20,24,0.29453898474023965,OPVTypical2,1.0135720352827442,532.9360301080346,1114.9842773096864
40,29,0.3745277586155943,OPVTypical2,1.0389591715800714,404.8927939056549,882.1758551543097
38,28,0.33998834795197724,OPVTypical2,1.0299501878894357,439.93102676942976,971.3577454430562
-2,25,0.37456011444188897,OPVTypical2,1.0244820864866202,398.3676001175434,874.5841108480603
-21,28,0.30435117562894576,OPVTypical2,1.011853606356198,519.1517978878582,1066.2980989437417
30,20,0.2754937694862123,OPVTypical2,1.0178714106300408,541.1990330652575,1178.7764807735875
45,25,0.41943438697499263,OPVTypical2,1.0462257584989436,371.16055751014886,803.0199886541885
-7,26,0.34954707860654105,OPVTypical2,1.015157474729132,436.2389195593928,948.3159098299063
5,20,0.3125753081809528,OPVTypical2,1.01849023325893,484.6807833141542,1036.5045789998603
-23,28,0.3052428035652501,OPVTypical2,1.0128852885985515,513.3489453970855,1066.0143419910364
-32,26,0.35135327303114405,OPVTypical2,1.0244742529256887,436.72488286692635,938.7998473423623
24,27,0.2532097886246677,OPVTypical2,1.012504262556117,583.9837905965562,1269.5630933895634
22,22,0.2523153924649137,OPVTypical2,1.0112414472585505,597.6783986502486,1301.8329472086505
32,23,0.28283920694330245,OPVTypical2,1.0193126802741048,530.6374589005082,1157.713814402112
12,28,0.2644500441579563,OPVTypical2,1.0247314630114577,569.7700628050574,1241.9662347443928
23,30,0.25578773513932834,OPVTypical2,1.0129504841907773,580.2318724421385,1263.0584530416993
16,26,0.24635465478501145,OPVTypical2,1.0139568881006062,598.6107941261828,1312.7716050677334
-16,25,0.3075635170367258,OPVTypical2,1.0184603546853384,512.5220495703513,1057.6318841660734
-13,27,0.31205133929017576,OPVTypical2,1.0130876277088203,490.7064054197348,1050.7021157000333
