Job.Latitude,Job.Longitude,Panel.Irradiance
55,22,"[10508  6163  5667  4685  3943  2803  3163  2983  3000  2383  2521  2861
  2325  2001  1982  2184  1481  1800  1282]"
28,25,"[4127 2900 4140 2661 4064 2465 3460 3360 3443 3465 3842 4040 4200 5705
 5145 3740 3823 5007 3700]"
43,24,"[13189  6728  5102  3062  3564  2664  3001  2564  3041  2164  2361  3923
  3224  2723  2481  2442  2482  2363  2340]"
24,29,"[4105 2620 1760 3683 4162 3906 1500 2941 3924 4320 3465 3100 3101 6823
 6385 3101 4224 6005 2942]"
42,23,"[8425 6069 5304 4946 4321 3341 3301 3842 3663 2061 3244 3780 3965 2583
 2804 2864 2382 2701 2302]"
11,29,"[3763 3941 5644 3842 1200 1883 3583 4904 3362 1703 2482 4122 4263 4060
 3464 4006 6421 4807 5063]"
57,23,"[9950 7322 5248 4623 3365 3565 3645 2642 2882 2704 2583 2483 1981 1763
 1740 1762 1840  960 1180]"
13,22,"[7066 3563 1381 2422 3923 5045 2900  900 2481 4765 3883 3041 1800 4446
 4744 4721 4545 6486 7467]"
8,25,"[4620 4045 3703 3846 2540 3404 2882 3343 3640 2801 3426 3745 4101 3846
 4082 4882 5283 2883 5180]"
32,23,"[4984 4761 3681 3024 3281 3025 3140 3680 3706 3280 3264 5080 4985 4062
 4122 4380 3666 3124 4787]"
23,23,"[3020 3465 4942 2864 1780 3243 3702 3882 2782 2740 3506 4961 4263 4001
 5064 6201 3824 3665 5764]"
50,25,"[11908  7991  5482  4280  3686  3321  3124  2382  2725  2502  2500  2166
  2402  2703  2342  1822  2261  1922  1460]"
47,22,"[11669  7687  5463  5004  3123  2603  2943  3744  2422  2141  2862  3562
  2761  1981  2723  2564  2023  2843  2140]"
56,27,"[11584  7907  6247  3446  3483  3725  2741  2581  2384  2488  2722  1840
  1944  1941  1561  1622  1580  1140  1022]"
-12,23,"[5720 4961 5345 4044 2761 3481 4644 3962 3263 4204 3364 4504 4840 5547
 4284 3746 2820 2320 2120]"
-12,20,"[6700 4460 5482 3828 3400 3000 4441 3809 2920 4500 3542 4268 4802 6022
 4650 3566 3020 2000 2100]"
53,30,"[11046  7305  5645  3826  3643  3180  3002  2724  2382  2462  2782  2342
  2064  2280  2164  1782  2321  2184  1524]"
-29,21,"[6360 3370 3180 4580 4380 3651 3780 3520 5089 6220 4406 3505 3889 4200
 2540 2620 3040 3340 2320]"
-17,28,"[6546 4084 2920 3522 3881 3807 2460 3660 4161 3229 4680 3621 4909 5380
 4890 3665 3100 3580 3080]"
-25,29,"[5430 4260 3440 4340 3506 2804 4660 3300 3486 4084 4060 5764 4786 4061
 3853 3441 2460 2780 3420]"
13,27,"[2580 4042 3985 4723 1720 1081 4401 4668 3181 1940 1703 4881 4506 2600
 3022 6448 4641 7025 6467]"
21,25,"[3444 3540 2320 2864 3184 3502 2640 2580 3224 3805 3881 2300 4260 4147
 5383 5501 5245 5104 4860]"
24,23,"[2660 4225 4080 2725 2461 2924 3843 3982 3261 2401 3362 4741 4406 4122
 5083 6161 3984 3283 5725]"
57,28,"[10850  7822  5824  4189  3384  3463  3041  2424  2381  2783  2462  1902
  1903  2124  1686  1360  1562   960   821]"
28,29,"[4122 4723 2520 3144 3602 4544 2020 2100 3645 4081 4484 2700 3423 6542
 5705 2501 4184 5445 2983]"
52,23,"[11186  7628  5401  4144  3725  2905  3322  2983  2762  2605  2864  2543
  2444  2180  2221  2223  1820  1941  1462]"
52,20,"[11841  7523  5793  4985  3384  3362  3405  3225  2541  2461  2441  3104
  2100  1961  2243  2445  1561  1882  1322]"
21,21,"[2080 4245 5745 1701 1480 2180 5125 4645 1740 1640 3422 6885 2562 3040
 4141 8668 4181 3662 6608]"
53,23,"[11546  7245  5142  4485  3883  3063  2820  2863  2382  2483  2502  2164
  2502  2082  1961  2383  2084  1783  1423]"
3,24,"[8487 3543 4430 4823 2942 3161 3643 3581 3621 3343 4364 3462 4225 4602
 4765 3742 2601 2760 2900]"
43,25,"[10945  7368  5845  3921  4044  3524  3583  2781  2924  2947  2621  2882
  3181  2785  2382  2062  2603  2181  2580]"
