Job.Latitude,Job.Longitude,Finance.LCOE
19,29,0.0441986531760798
28,25,0.0472702478466279
3,27,0.0588721526221415
-25,24,0.0534784764075152
-26,20,0.0512132443419061
51,29,0.0924267654038158
20,27,0.0440885903842912
-17,22,0.0542491369023529
20,29,0.0443141618782433
16,21,0.0448863829915116
-11,23,0.0597584706841089
44,28,0.0753969762019912
-31,24,0.0581942683596888
-20,23,0.0519503823484628
44,24,0.0727827706492761
-6,25,0.0621190244109636
-16,21,0.0553365830524572
-20,26,0.0523088507828014
-23,20,0.050476800458209
2,25,0.062318333780722
9,27,0.0496588069002245
18,22,0.0439513007298058
18,25,0.0438487480703753
3,22,0.0598544045732382
31,28,0.0501934923864173
12,29,0.0480563787167517
27,23,0.0471307068745373
8,27,0.0511863055915035
27,28,0.0466922176306888
-6,28,0.0633018968282377
30,30,0.0484746061331744
0,30,0.0598804064047419
-4,22,0.0648924373780249
28,23,0.047518176200557
4,24,0.0578649249075301
28,20,0.0478278524180069
47,26,0.0877432286551208
11,21,0.0485759265121741
43,25,0.0767322355385795
-21,27,0.0533718489200038
50,21,0.0941210785095097
18,27,0.0439418427105657
12,28,0.0472365186919537
45,28,0.0743878344783305
27,27,0.046760837239287
-22,27,0.054910776238424
51,22,0.0963965454570179
-20,25,0.0525603714453521
-32,22,0.0589280297408857
-31,22,0.0566653712905138
-13,25,0.0565011671496417
22,25,0.0462450192533169
28,24,0.0472802832449255
30,20,0.0494038221926441
13,21,0.0466046342813488
6,24,0.0537263627117657
12,23,0.04753533340227
17,29,0.0442629991982133
-11,28,0.0566621981730574
-3,30,0.0655843484693333
-18,22,0.053441773421619
-15,21,0.0562409861659841
31,26,0.0495090067324956
15,25,0.0443504368967194
15,23,0.0447654781994841
27,28,0.0466922176306888
52,22,0.0998739762139425
26,29,0.0464446332365004
4,20,0.0578121190617529
38,23,0.0595588517296834
-6,28,0.0633018968282377
13,26,0.0458984629796702
-16,23,0.054527932678507
-12,22,0.0569340071066855
25,25,0.046037036986643
6,25,0.0531590196472335
4,27,0.0564525991868565
0,30,0.0598804064047419
48,20,0.0863696263777733
58,30,0.0975630156614932
5,20,0.0558082138868784
-12,20,0.0593157843625749
15,27,0.0443636979886295
45,25,0.0756658294286568
-20,23,0.0519503823484628
40,22,0.0665448363363749
19,30,0.0444327264102018
-15,30,0.0567482211311116
-9,30,0.0577400032670661
44,27,0.0749322652696271
8,22,0.0521581537502684
-13,28,0.0559217499889788
29,22,0.0481457952165802
-23,29,0.0580735306774009
22,25,0.0462450192533169
-2,29,0.0596924354591661
37,23,0.0636567157445696
25,30,0.0458654880204087
12,27,0.0469654806025543
17,25,0.0438244900722179
9,27,0.0496588069002245
10,20,0.049358888681886
-17,30,0.055105748129213
43,27,0.0750607884028532
21,20,0.0447241424718656
-23,25,0.0518234007637916
-33,23,0.0626891171108044
37,23,0.0636567157445696
23,22,0.0457966661970698
4,22,0.0577149486740785
19,25,0.0439082192217079
11,24,0.0477247950226959
42,21,0.0722752593317554
5,21,0.0564690991852408
24,24,0.0458579882758821
5,22,0.056806582956653
-15,24,0.0551942615824925
20,30,0.0445069873903915
-9,26,0.0578754407281688
-31,23,0.0570582680595342
-30,22,0.0554253317340085
-7,25,0.0632708973416926
-4,24,0.065370451428832
26,25,0.046487717883289
