Job.Latitude,Job.Longitude,Finance.LCOE
-6,26,0.061578339894485
29,20,0.0487617970351629
-23,29,0.0580735306774009
12,24,0.047015829135259
7,27,0.0514920865005956
-8,22,0.0614344027149725
-32,21,0.0578095405687624
11,21,0.0485759265121741
-5,24,0.0637951220477981
53,27,0.0994502093017248
23,28,0.0456597976622956
30,23,0.0486007574267041
-15,21,0.0562409861659841
27,20,0.0474873333324795
27,24,0.0468559304155287
-26,29,0.058809202789945
-32,26,0.062976892457811
-7,28,0.0603348804408393
-6,28,0.0633018968282377
-24,23,0.0521198481886771
50,26,0.096159560144545
32,22,0.0505408307711966
-16,26,0.0546782921687769
-4,24,0.065370451428832
31,26,0.0495090067324956
47,21,0.0792815102105177
11,24,0.0477247950226959
-18,26,0.0540787897355719
25,30,0.0458654880204087
48,28,0.083309237400713
19,22,0.0442075033129127
49,27,0.0878605645120477
14,25,0.0453641866497904
-30,25,0.0577809993562211
48,26,0.0871175350934909
28,22,0.0476275677983362
14,28,0.0454083221112429
42,26,0.0704827014540191
-14,30,0.0573077082336729
3,20,0.059585217732943
42,30,0.0707282735557229
52,30,0.0957066278391369
29,26,0.047827856298916
7,28,0.0524076374497736
-21,23,0.0519299169796097
48,28,0.083309237400713
2,25,0.062318333780722
40,24,0.0645479215725176
17,29,0.0442629991982133
13,28,0.0463661164775285
22,23,0.0450246067949634
51,24,0.0973749208748141
31,26,0.0495090067324956
-19,21,0.0528003228467249
-3,22,0.0667039952132344
-25,22,0.0522022246839451
50,30,0.0898117342492046
-30,30,0.0786019874866067
37,23,0.0636567157445696
40,20,0.0619516857538824
12,21,0.0477451766889736
30,30,0.0484746061331744
-8,30,0.0603144333182746
44,21,0.0784106340711274
14,26,0.04509270185243
45,22,0.0809373433654713
-1,22,0.0655934396781326
-25,25,0.0547217282925404
24,25,0.0455294665266894
1,20,0.0625686830227958
13,27,0.0460542984570873
20,27,0.0440885903842912
19,22,0.0442075033129127
35,25,0.0554552896653939
31,30,0.0516751769791298
-16,30,0.0542700658524738
0,28,0.0643141628873921
52,20,0.0971943895802336
-17,25,0.0544777512708404
-25,24,0.0534784764075152
-7,26,0.0627878384436172
28,24,0.0472802832449255
45,21,0.0772272464170874
-12,30,0.05423357758588
26,28,0.0463340894651792
31,28,0.0501934923864173
23,22,0.0457966661970698
12,27,0.0469654806025543
-6,21,0.0629694856238441
-24,23,0.0521198481886771
1,30,0.0593911109950447
-21,27,0.0533718489200038
26,20,0.0469425639209611
-11,26,0.059884216483164
-15,26,0.0554313278144763
39,30,0.0650871059873216
-31,28,0.0725855657108047
9,29,0.0513332016289229
-20,25,0.0525603714453521
-18,28,0.0544612020236765
40,29,0.0677118337676222
0,27,0.066623821054489
-16,30,0.0542700658524738
11,20,0.0485584101844263
31,25,0.0496160936889418
-11,29,0.0562838052231287
12,29,0.0480563787167517
5,23,0.0558805975022446
19,20,0.0442843820881759
-20,22,0.0521589608195778
51,26,0.0935997961410346
22,25,0.0462450192533169
-29,22,0.0542490893098447
15,25,0.0443504368967194
26,27,0.0463278249593606
48,26,0.0871175350934909
-8,25,0.0614872620406839
-29,21,0.0537206177257815
23,23,0.0457948386182038
8,23,0.0514431486117334
9,26,0.0492135617603066
45,30,0.0738109987731834
4,28,0.0555007199351887
-13,23,0.057356617225625
-28,27,0.0573722707503319
6,29,0.0530514675212254
21,23,0.0445396466860726
21,23,0.0445396466860726
12,27,0.0469654806025543
-2,20,0.06545833713943
31,24,0.0494153273566348
48,29,0.0838547053382647
-27,30,0.0616473119907853
-8,23,0.0610935023570371
-21,22,0.0521690517767495
7,20,0.0530014193351923
-17,28,0.0532785263127922
-32,24,0.061150694660799
-33,27,0.073218141833346
7,23,0.0527891755936368
40,20,0.0619516857538824
-23,26,0.0530044449215764
-24,23,0.0521198481886771
-4,22,0.0648924373780249
31,26,0.0495090067324956
9,23,0.0512864491461344
-18,28,0.0544612020236765
10,22,0.0492155143689264
29,27,0.0484908560297337
1,21,0.0629653709340327
3,23,0.0601047327344161
22,26,0.0447945920179796
6,23,0.0541180066173772
22,29,0.0452342855265636
11,23,0.0478608651818563
45,29,0.0726676103715115
38,28,0.0613225678439375
-21,30,0.0578569134049992
9,22,0.0503698266959249
22,28,0.045100963252377
45,28,0.0743878344783305
29,30,0.0475982519323214
49,27,0.0878605645120477
-21,28,0.0544907199688472
25,24,0.0461607203739721
17,29,0.0442629991982133
-10,30,0.0583983220092531
12,30,0.048784051378625
15,29,0.0447803274717995
48,28,0.083309237400713
-29,25,0.0573948687690186
-29,25,0.0573948687690186
-11,24,0.0597578440658957
-13,30,0.0573017277556645
-16,26,0.0546782921687769
3,22,0.0598544045732382
-17,24,0.0542673511723399
-7,28,0.0603348804408393
52,22,0.0998739762139425
5,30,0.0554719874408102
47,25,0.090535111140455
-5,24,0.0637951220477981
-3,24,0.0675092786741143
24,26,0.0453954859320606
40,30,0.0703066499379773
-33,24,0.0650684663167132
49,26,0.0887476549938635
-20,20,0.0521780084047509
15,30,0.0449869222242757
-34,20,0.0693751101331633
-17,23,0.0541862014721736
5,23,0.0558805975022446
7,26,0.0520784723170713
-5,23,0.0633702013005276
44,27,0.0749322652696271
38,23,0.0595588517296834
-2,30,0.0631221573644381
24,30,0.045852979960052
50,30,0.0898117342492046
-33,25,0.0661625762107665
-2,29,0.0596924354591661
22,21,0.0451994019186622
-14,25,0.0556299340571277
15,26,0.0444203638519967
13,23,0.0469012471360052
29,24,0.047928221711369
6,21,0.0543421868046224
18,30,0.0443250787902512
-9,26,0.0578754407281688
44,27,0.0749322652696271
11,23,0.0478608651818563
23,21,0.0460126284419806
30,22,0.0489593039837722
-16,24,0.0552600613083224
3,26,0.0598897342398162
10,24,0.0486860529326072
45,26,0.0756099684402831
17,29,0.0442629991982133
-4,28,0.064887787062491
-8,24,0.0612108527547992
-12,21,0.0569156069787977
51,22,0.0963965454570179
-8,21,0.060410835506586
25,24,0.0461607203739721
31,22,0.0492958095383915
-2,30,0.0631221573644381
-14,27,0.0557625213727732
8,27,0.0511863055915035
-28,28,0.059624179881299
-9,26,0.0578754407281688
26,27,0.0463278249593606
37,23,0.0636567157445696
47,21,0.0792815102105177
-1,30,0.0667196912848683
10,29,0.0504171419881745
50,23,0.0948738751937668
43,22,0.0760036162926655
48,30,0.0841464785845103
30,22,0.0489593039837722
42,24,0.0816835473937333
51,22,0.0963965454570179
18,30,0.0443250787902512
-26,23,0.0530841895444216
-9,21,0.060330217599982
30,29,0.0483061492088922
0,29,0.0749030961440063
16,22,0.0445020176427384
23,21,0.0460126284419806
-20,20,0.0521780084047509
-3,28,0.070043351852879
17,21,0.0442342922607117
-32,21,0.0578095405687624
18,23,0.0437363560557846
26,30,0.0462577751267229
-11,23,0.0597584706841089
28,26,0.0473501536935942
7,23,0.0527891755936368
0,29,0.0749030961440063
-26,22,0.0527006064392638
23,23,0.0457948386182038
-25,25,0.0547217282925404
11,29,0.049016953657674
47,23,0.0850630697271658
48,21,0.0836250934319128
-3,23,0.0664095049803095
-10,23,0.058367760471624
15,29,0.0447803274717995
46,29,0.0772206759292967
-18,29,0.0526376724330502
38,30,0.0594868038502876
3,25,0.0601505688846648
-11,22,0.0592617562740333
-12,20,0.0593157843625749
13,28,0.0463661164775285
8,21,0.0524401442827478
47,21,0.0792815102105177
-8,26,0.0582280843778773
46,24,0.0791386189001269
39,23,0.062952915853585
48,30,0.0841464785845103
-27,26,0.0567832799316934
-13,20,0.0589343477924084
47,27,0.0815898700018867
-26,30,0.0601266949613926
10,20,0.049358888681886
-26,28,0.0583879339343192
-9,25,0.0602653624518138
3,20,0.059585217732943
42,27,0.07056964112238
18,21,0.04410937673341594
