ProjectName,PreCalculated,Location,Latitude,Longitude,PanTyp,PanCosInf,PanFlrPri,InvLif,PrjLif,Irr,ModSta,PrjTyp,PrjLoc,OprCosInf,InvCosInf,OprCos,RenCos,RenInf
Closed Stars 4,y,Fiji,-18.112108,178.45359,36,-1,0.245,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Stars 5,y,Fiji,-18.112108,178.45359,37,-1,0.49,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Stars 6,y,Fiji,-18.112108,178.45359,38,-1,1.225,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Stars 7,y,Fiji,-18.112108,178.45359,39,-1,2.45,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Closed Stars 8,y,Fiji,-18.112108,178.45359,40,-1,4.9,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Stars 1,y,Fiji,-18.112108,178.45359,41,-1,0.0245,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Stars 2,y,Fiji,-18.112108,178.45359,42,-1,0.049,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Stars 3,y,Fiji,-18.112108,178.45359,43,-1,0.1225,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Stars 4,y,Fiji,-18.112108,178.45359,44,-1,0.245,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Stars 5,y,Fiji,-18.112108,178.45359,45,-1,0.49,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Stars 6,y,Fiji,-18.112108,178.45359,46,-1,1.225,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Stars 7,y,Fiji,-18.112108,178.45359,47,-1,2.45,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
Open Stars 8,y,Fiji,-18.112108,178.45359,48,-1,4.9,10,20,High Risk,01/05/2019,Groundmount PV Array,Fiji,2.1,2.1,0.01,0.5,2.1
