,Irradiance,Enhanced
0,0.0,6.290333634661646
1,10.1010101010101,6.089227718921049
2,20.2020202020202,5.871164401077704
3,30.3030303030303,5.639487442219236
4,40.4040404040404,5.397796630982063
5,50.505050505050505,5.149739997013654
6,60.6060606060606,4.898838470467166
7,70.7070707070707,4.648350397486256
8,80.8080808080808,4.401177366598264
9,90.9090909090909,4.159808505882991
10,101.01010101010101,3.926297773347615
11,111.1111111111111,3.702267535425743
12,121.2121212121212,3.4889315592855525
13,131.3131313131313,3.2871310758846715
14,141.4141414141414,3.097378494223769
15,151.5151515151515,2.9199044270625687
16,161.6161616161616,2.7547047627171772
17,171.7171717171717,2.6015854882440967
18,181.8181818181818,2.4602037875911744
19,191.91919191919192,2.330104589685626
20,202.02020202020202,2.210752233157058
21,212.1212121212121,2.1015572656633905
22,222.2222222222222,2.0018986307089675
23,232.3232323232323,1.9111416382200208
24,242.4242424242424,1.8286521894860943
25,252.5252525252525,1.7538077521024598
26,262.6262626262626,1.6860055716840385
27,272.7272727272727,1.6246685769476867
28,282.8282828282828,1.5692493922705664
29,292.9292929292929,1.51923282365198
30,303.030303030303,1.4741371347114431
31,313.1313131313131,1.4335143818130822
32,323.2323232323232,1.3969500334848604
33,333.3333333333333,1.3640620598057929
34,343.4343434343434,1.3344996428472415
35,353.5353535353535,1.3079416294196893
36,363.6363636363636,1.2840948221698956
37,373.73737373737373,1.2626921838523784
38,383.83838383838383,1.2434910122775145
39,393.93939393939394,1.2262711290734967
40,404.04040404040404,1.2108331139452075
41,414.1414141414141,1.1969966068899816
42,424.2424242424242,1.1845986935771866
43,434.3434343434343,1.1734923833821034
44,444.4444444444444,1.1635451852056584
45,454.5454545454545,1.1546377828955754
46,464.6464646464646,1.1466628096015181
47,474.7474747474747,1.1395237185715583
48,484.8484848484848,1.1331337467167226
49,494.9494949494949,1.1274149662813073
50,505.050505050505,1.1222974196119944
51,515.1515151515151,1.1177183315523662
52,525.2525252525252,1.1136213940559512
53,535.3535353535353,1.1099561175516102
54,545.4545454545454,1.1066772437719745
55,555.5555555555555,1.1037442149864436
56,565.6565656565656,1.101120694790169
57,575.7575757575758,1.0987741359311791
58,585.8585858585858,1.0966753909291749
59,595.959595959596,1.0947983615330468
60,606.060606060606,1.0931196834022197
61,616.1616161616162,1.0916184426578255
62,626.2626262626262,1.0902759212220843
63,636.3636363636364,1.0890753681402603
64,646.4646464646464,1.0880017943704337
65,656.5656565656565,1.0870417886406365
66,666.6666666666666,1.0861833523360225
67,676.7676767676767,1.0854157514681015
68,686.8686868686868,1.084729383987601
69,696.9696969696969,1.084115660918448
70,707.070707070707,1.0835668998529633
71,717.1717171717171,1.0830762295854113
72,727.2727272727273,1.0826375046983596
73,737.3737373737373,1.082245229102024
74,747.4747474747475,1.0818944875857501
75,757.5757575757575,1.0815808845525743
76,767.6767676767677,1.0813004891905695
77,777.7777777777777,1.0810497864080046
78,787.8787878787879,1.0808256329293462
79,797.9797979797979,1.0806252180245162
80,808.0808080808081,1.0804460283628254
81,818.1818181818181,1.0802858165816047
82,828.2828282828282,1.0801425731665106
83,838.3838383838383,1.0800145012982147
84,848.4848484848484,1.0798999943628935
85,858.5858585858585,1.0797976158230034
86,868.6868686868686,1.0797060812318355
87,878.7878787878788,1.079624242135245
88,888.8888888888888,1.079551071680282
89,898.989898989899,1.0794856517434719
90,909.090909090909,1.0794271614328985
91,919.1919191919192,1.0793748667784826
92,929.2929292929292,1.0793281115453726
93,939.3939393939394,1.0792863089954565
94,949.4949494949494,1.0792489345272458
95,959.5959595959596,1.0792155191045296
96,969.6969696969696,1.0791856433687221
97,979.7979797979797,1.0791589323737174
98,989.8989898989898,1.079135050892937
99,1000.0,1.07911369920215
