Irradiance,Enhanced
0,0.203381544
50,1.442619159
100,1.496764844
150,1.395245345
200,1.434799157
250,1.079277433
300,1.114562595
350,0.821106101
400,1.032322286
450,1.028097552
500,1.18796112
550,1.097763204
600,1.234854784
650,1.184544443
700,1.064047312
750,1.064047312
800,1.084641059
900,0.947201077
950,0.983341141
1000,1
