Irradiance,Enhanced
780.63,1.023199938
783.8,1.022497855
785.39,1.023855215
790.47,1.022513457
791.42,1.021280911
792.69,1.021093689
793.01,1.018909431
793.65,1.021826976
796.82,1.021093689
802.85,1.020968874
807.93,1.017910913
812.06,1.019346283
812.38,1.018956237
813.96,1.016974803
817.77,1.015570637
818.41,1.018035728
820,1.016054294
822.85,1.01585147
823.8,1.018394571
825.71,1.017505266
832.06,1.01627272
832.38,1.015882674
833.65,1.016179109
837.14,1.018456978
840,1.014977767
843.8,1.013620407
844.44,1.014057259
848.88,1.012013418
850.47,1.01338638
851.11,1.013183556
852.69,1.010749668
857.14,1.013792027
863.49,1.009563929
864.12,1.010562446
866.98,1.010437632
867.3,1.010078789
869.2,1.012731102
875.23,1.011514159
876.19,1.007847726
877.77,1.01177939
879.04,1.010312817
881.26,1.009485919
881.58,1.009127077
883.8,1.011170918
886.98,1.009251892
890.15,1.008830642
890.47,1.011560964
894.6,1.006896014
896.19,1.008268976
898.09,1.006131524
900.95,1.006006709
903.17,1.008378189
905.07,1.007707309
909.84,1.007176847
913.65,1.008034948
915.23,1.009080271
915.55,1.008737031
916.5,1.006568375
920.31,1.004961385
921.9,1.006256338
922.53,1.008690225
925.39,1.007239254
928.25,1.008331383
930.79,1.007520087
931.42,1.005460644
933.96,1.008253374
934.6,1.008159763
938.41,1.007067634
939.36,1.007488884
941.26,1.007488884
942.85,1.007052032
946.34,1.006739995
947.3,1.005710274
948.57,1.004368515
950.79,1.006583977
954.6,1.005616663
955.23,1.004961385
955.87,1.002699118
957.46,1.004009673
957.77,1.002293471
960.95,1.003510414
961.26,1.004649349
963.17,1.002652313
964.12,1.006193931
965.71,1.004540136
966.98,1.006256338
967.61,1.004025275
967.93,1.005273422
971.42,1.004680552
972.38,1.003682034
973.01,1.001575786
977.14,1.003291988
979.36,1.004025275
981.26,1.003104766
981.58,1.004165692
982.53,1.003198377
984.44,1.001248147
984.76,1.002465091
984.76,1.000920509
985.39,1.003276387
985.39,1.001825415
986.03,1.002621109
986.66,1.000546064
986.98,1.003213979
987.93,1.002246665
988.57,1.001591388
990.47,1.002667915
991.42,1.001700601
992.06,1.001060925
992.38,1.000733287
993.01,1.000093611
993.33,0.999781574
993.96,1.002059443
994.28,1.004711756
994.6,0.999875185
995.87,1.004649349
996.5,1.002480693
997.46,1.003057961
997.77,1.001201342
998.09,1.000889305
999.36,1.001138934
1000.31,0.998658242
1000.63,1.001248147
1000.95,0.999563148
1001.26,1.000608472
1001.9,0.998611436
1002.53,1.000873703
1003.17,1.000234028
1003.49,0.999921991
1003.8,0.999609954
1003.8,1.001138934
1004.12,1.000826898
1004.44,1.001934628
1005.39,0.998034168
1005.71,0.999141899
1006.03,0.997394493
1006.03,1.000358842
1006.66,0.996770419
1006.66,0.999734769
1006.98,0.99940713
1007.3,0.999095093
1007.61,0.997347687
1007.93,1
