144,117,128,101,90,73,81,94,104,120,127,131
208.81,162.63,144.43,103.1,75.67,61.08,67.27,91.66,118.38,154.56,176.65,192.9
-36.848461,,,,,,,,,,,
174.763336,,,,,,,,,,,
