121,122,156,158,169,169,174,174,161,148,125,119
105.4,118.02,172.8508333,196.65,228.3925,238.3,242.4458333,223.7941667,186.5,153.3466667,112.025,99.2
30.04442,,,,,,,,,,,
31.235712,,,,,,,,,,,
