136,124,133,115,108,95,104,112,120,136,134,142
201.965,174.8366667,169.0533333,138.625,120.435,103.575,117.9291667,135.8058333,156.1,185.5866667,199.725,216.9741667
-21.200266,,,,,,,,,,,
-175.168487,,,,,,,,,,,
