,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0x14987,25.0,0.39,0.027586207,0.245,54.88,0.0,0.0,G0,0.03020456418883852,64.50360006517526
0x933c03,25.0,0.35,0.061538462,0.245,36.26,0.0,0.0,G0,0.024230869151882405,77.18529392328962
0x1b5edb,25.0,0.0,0.016666667,0.245,27.44,0.0,0.0,G0,0.043604894244911895,36.055732820950645
0x8d6e0b,25.0,0.2,0.022222222000000003,0.245,53.9,0.0,0.0,G0,0.0384062523446941,47.09204864368157
0xd0c652,25.0,0.4,0.009756098000000001,0.245,51.94,0.0,0.0,G0,0.03384378980098229,56.77780475619132
0x7d7fc1,25.0,0.4,0.025,0.245,49.98,0.0,0.0,G0,0.03038124586047644,64.12851850239201
0xf71aa2,25.0,0.47,0.071428571,0.245,94.08,0.0,0.0,G0,0.017188464623496824,92.1357756103313
0x10ca76,25.0,0.47,0.076923077,0.245,96.04,0.0,0.0,G0,0.01653218786086857,93.52900056379104
0x1aa1af,25.0,0.41,0.09638554199999999,0.245,71.54,0.0,0.0,G0,0.017079948962776318,92.36614598905918
0xe9ba7b,25.0,0.44,0.113636364,0.245,61.74,0.0,0.0,G0,0.014473363438795912,97.89972603049291
0x17da05,25.0,0.31,0.115942029,0.245,89.18,0.0,0.0,G0,0.017783057130516023,90.8735015742954
0x5ab0a9,25.0,0.23,0.2,0.245,29.694000000000003,0.0,0.0,G0,0.010198252202896175,106.97545747772308
0x18b62b,25.0,0.0,0.088888889,0.245,59.29,0.0,0.0,G0,0.027511360568802594,70.22106364434455
0xdd7730,25.0,0.0,0.02,0.245,70.658,0.0,0.0,G0,0.04314201109879296,37.038398041529476
0xfb0408,25.0,0.07,0.036363636,0.245,76.244,0.0,0.0,G0,0.038941032622140034,45.95675135817058
0x345310,25.0,0.07,0.042105263,0.245,78.694,0.0,0.0,G0,0.03770119619278115,48.58882847861205
0xff7ac8,25.0,0.0,0.0178,0.245,59.486000000000004,0.0,0.0,G0,0.043450294890046766,36.3839353282652
0xcf7269,25.0,0.0,0.0118,0.245,98.0,0.0,0.0,G0,0.044238241016457326,34.711186470145144
0x4b9b9,25.0,0.125,0.119402985,0.245,147.98,0.0,0.0,G0,0.01944654611648459,87.34204274924835
0xfc3274,25.0,0.125,0.103092784,0.245,151.9,0.0,0.0,G0,0.02251988857787886,80.8175737270725
0x653054,25.0,0.4,0.2,0.245,125.44,0.0,0.0,G0,0.010837902670898472,105.61752886549549
0xc8e718,25.0,0.3,0.16477272699999998,0.245,189.14,0.0,0.0,G0,0.013445604596552837,100.08157878940744
0xd0e2dd,25.0,0.15,0.116856559,0.245,156.8,0.0,0.0,G0,0.01973367681212309,86.73248642659912
