,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0x7db955,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0xb3bfb1,25.0,0.0,0.01,0.0,204.8911618,0.0,0.0,G0,0.00327210715484972,0.06056980707528624
0x8fd526,35.0,0.02,0.01,10.0,210.0134409,0.0,0.0,G0,0.0032650043024537684,0.060877315504029264
0x7401fd,22.5,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0x98f7ce,27.5,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0x802bd0,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0xb0da2e,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0xea3893,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0xd462cc,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0x4df8b7,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0xd019e5,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0x3a1d58,25.0,0.02,0.01,10.0,184.4020456,0.0,0.0,G0,0.003146325188681923,0.06601536790413144
0x37545,25.0,0.02,0.01,10.0,225.38027799999998,0.0,0.0,G0,0.003323264890842062,0.05835500179198625
0x58a763,20.0,0.02,0.01,500.0,196.0,0.0,0.0,G0,0.003208480990102934,0.06332441618970043
0x1d730b,18.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.0031335615153844972,0.0665679539501145
0x766cdf,22.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x4cb424,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xb90436,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x50a0d7,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x2632b0,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x1ca48f,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xcb61d8,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xda3a50,20.0,0.02,0.01,500.0,184.4020456,0.0,0.0,G0,0.0031510747968338053,0.0658097400157126
0xf920e5,20.0,0.02,0.01,500.0,225.38027799999998,0.0,0.0,G0,0.00332746335857789,0.05817323478563419
0x6f926b,30.0,0.02,0.01,500.0,196.0,0.0,0.0,G0,0.003208480990102934,0.06332441618970043
0x53b853,27.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x99ae72,33.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xce8f09,30.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xacb8c8,30.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xd9f912,30.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x2d41b7,30.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x4d1045,30.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xe961be,30.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x3770b8,30.0,0.02,0.01,500.0,184.4020456,0.0,0.0,G0,0.0031510747968338053,0.0658097400157126
0x2b9504,30.0,0.02,0.01,500.0,225.38027799999998,0.0,0.0,G0,0.00332746335857789,0.05817323478563419
0xe2bb24,10.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0020012299852583747,0.11559072258369794
0x286c45,9.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0019656161843031464,0.11713257413330215
0x94539c,11.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.00213032150356267,0.11000187915222996
0xfa5143,10.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0020012299852583747,0.11559072258369794
0xaeeb24,10.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0020012299852583747,0.11559072258369794
0x1c5723,10.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0020012299852583747,0.11559072258369794
0xb56363,10.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0020012299852583747,0.11559072258369794
0x668b8a,10.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0020012299852583747,0.11559072258369794
0xefe5d8,10.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0020012299852583747,0.11559072258369794
0x90133e,10.0,0.02,0.02,500.0,88.2,0.0,0.0,G0,0.0017881858092935851,0.12481418326565125
0x1b3064,10.0,0.02,0.02,500.0,107.8,0.0,0.0,G0,0.0021755388134225766,0.1080442566180872
0x7a78f8,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0x358dd8,18.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0021688265168402017,0.10833485645886096
0x7f9b86,22.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0xb617cc,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0xa35b8d,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0x581f8a,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0xd1e6eb,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0xaa0a09,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0x189756,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0x4e46f6,20.0,0.02,0.01,500.0,88.2,0.0,0.0,G0,0.002092917329378964,0.1116212424995827
0xbd5afc,20.0,0.02,0.01,500.0,107.8,0.0,0.0,G0,0.0024616990890323986,0.09565533287083428
0x912a95,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0xf087ee,18.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0021688265168402017,0.10833485645886096
0xed8c53,22.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0x33f270,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0x118374,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0x19ad0f,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0x491c67,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0xa07c49,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0x4649c5,20.0,0.02,0.01,500.0,98.0,0.0,0.0,G0,0.0022957473206676998,0.10283999118726436
0x24ac51,20.0,0.02,0.01,500.0,88.2,0.0,0.0,G0,0.002092917329378964,0.1116212424995827
0xfd1eed,20.0,0.02,0.01,500.0,107.8,0.0,0.0,G0,0.0024616990890323986,0.09565533287083428
0x5eb971,20.0,0.02,0.02,500.0,98.0,0.0,0.0,G0,0.0020890365846587345,0.1117892541158667
