,0,1,2,3,4,Mothes,Fathers,Generation,Fitness,Results
0x56a7e5,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0xa7f755,25.0,0.0,0.01,0.0,204.8911618,0.0,0.0,G0,0.00327210715484972,0.06056980707528624
0x22920f,35.0,0.02,0.01,10.0,210.0134409,0.0,0.0,G0,0.0032650043024537684,0.060877315504029264
0xef93f6,22.5,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0x3fb632,27.5,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0x7de715,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0x1e15b3,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0x5718,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0xaab90c,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0xf4e568,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0x336b92,25.0,0.02,0.01,10.0,204.8911618,0.0,0.0,G0,0.0032436420741209023,0.0618021644102001
0x13f86b,25.0,0.02,0.01,10.0,184.4020456,0.0,0.0,G0,0.003146325188681923,0.06601536790413144
0x1ca9a2,25.0,0.02,0.01,10.0,225.38027799999998,0.0,0.0,G0,0.003323264890842062,0.05835500179198625
0x7141e6,20.0,0.02,0.01,500.0,196.0,0.0,0.0,G0,0.003208480990102934,0.06332441618970043
0x7e7c48,18.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.0031335615153844972,0.0665679539501145
0xc7dfdc,22.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x567a6f,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xe8210a,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x9f19bf,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xa8b5ac,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x95f0cd,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xa61a4c,20.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x342a4e,20.0,0.02,0.01,500.0,184.4020456,0.0,0.0,G0,0.0031510747968338053,0.0658097400157126
0xc2603,20.0,0.02,0.01,500.0,225.38027799999998,0.0,0.0,G0,0.00332746335857789,0.05817323478563419
0xd4452b,30.0,0.02,0.01,500.0,196.0,0.0,0.0,G0,0.003208480990102934,0.06332441618970043
0x57bbdb,27.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x8a1315,33.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x5d9a9c,30.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0x98e5ff,30.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xef2fb7,30.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
0xf6ccb5,30.0,0.02,0.01,500.0,204.8911618,0.0,0.0,G0,0.003248088554890545,0.061609660013559636
