,0,1,2,3,Mothes,Fathers,Generation,Fitness,Results
0x9a1c15,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x76f02f,25.0,0.0,0.01,204.8911618,0.0,0.0,G0,0.003290549093538552,0.0950286690235029
0xf2439f,35.0,0.02,0.01,210.0134409,0.0,0.0,G0,0.0032832937515025018,0.09552552715535297
0xf3e3c1,22.5,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x3282bc,27.5,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x84d53a,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x955eb1,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xb5c784,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x2f849e,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xde1014,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xb78b97,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x782ae1,25.0,0.02,0.01,184.4020456,0.0,0.0,G0,0.0031672824455131095,0.10347017821121876
0x5be40c,25.0,0.02,0.01,225.38027799999998,0.0,0.0,G0,0.0033402446785172134,0.0916254310519496
0x4dda24,20.0,0.02,0.01,196.0,0.0,0.0,G0,0.003223573537025522,0.09961526876247227
0x59736a,18.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.003110090576983586,0.10738677439833144
0x50e889,22.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xdc9b44,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xedb09,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x4f2e27,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xea8581,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x333ced,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x3921b2,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xd3887d,20.0,0.02,0.01,184.4020456,0.0,0.0,G0,0.0031672824455131095,0.10347017821121876
0xdfdead,20.0,0.02,0.01,225.38027799999998,0.0,0.0,G0,0.0033402446785172134,0.0916254310519496
0xc4f0fb,30.0,0.02,0.01,196.0,0.0,0.0,G0,0.003223573537025522,0.09961526876247227
0x121787,27.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x20b18d,33.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xa1dd67,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x8c8b38,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x246a1c,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x9d8423,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x81e7ad,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x995bb0,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x7a1118,30.0,0.02,0.01,184.4020456,0.0,0.0,G0,0.0031672824455131095,0.10347017821121876
0xcf75f1,30.0,0.02,0.01,225.38027799999998,0.0,0.0,G0,0.0033402446785172134,0.0916254310519496
0x203e5a,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.0020024897880431217,0.18323715555116726
0x8f709,9.0,0.02,0.01,98.0,0.0,0.0,G0,0.0019253449759727306,0.18852016316359466
0x9cdf5e,11.0,0.02,0.01,98.0,0.0,0.0,G0,0.002130120929674438,0.1744967584366368
0xeff3c5,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.0020024897880431217,0.18323715555116726
0xcbdac8,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.0020024897880431217,0.18323715555116726
0xd07f6a,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.0020024897880431217,0.18323715555116726
0x7531d5,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.0020024897880431217,0.18323715555116726
0xc64c9c,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.0020024897880431217,0.18323715555116726
0x658a5b,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.0020024897880431217,0.18323715555116726
0xe2782d,10.0,0.02,0.02,88.2,0.0,0.0,G0,0.0017929702525540459,0.19758540880675945
0x1b9aa7,10.0,0.02,0.02,107.8,0.0,0.0,G0,0.0021739148129029436,0.17149767901360516
0xb71828,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0x167886,18.0,0.02,0.01,98.0,0.0,0.0,G0,0.002158775091354502,0.17253447283089346
0x81bb38,22.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0x42dc35,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0x1a99ed,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0x2c09be,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0x84d2a,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0x1e4e88,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0xda67cb,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0x4028ea,20.0,0.02,0.01,88.2,0.0,0.0,G0,0.0021296789406888995,0.1745270265922333
0xe293d2,20.0,0.02,0.01,107.8,0.0,0.0,G0,0.0024912974335188297,0.1497627786908727
0xa99b97,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0x81b6da,18.0,0.02,0.01,98.0,0.0,0.0,G0,0.002158775091354502,0.17253447283089346
0xd04dec,22.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0x578247,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0xe30e2a,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0x84ddef,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0xefb8e3,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
0xcb0e59,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0023285691389064505,0.16090668838644748
