,0,1,2,3,Mothes,Fathers,Generation,Fitness,Results
0x3c9cb0,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x3179ad,25.0,0.0,0.01,204.8911618,0.0,0.0,G0,0.003290549093538552,0.0950286690235029
0x248dae,35.0,0.02,0.01,210.0134409,0.0,0.0,G0,0.0032832937515025018,0.09552552715535297
0xd6d417,22.5,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x875089,27.5,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x76a05e,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x502766,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x23cdf3,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x92f06a,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x498d9,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xdfff04,25.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xb75b7f,25.0,0.02,0.01,184.4020456,0.0,0.0,G0,0.0031672824455131095,0.10347017821121876
0xe2013d,25.0,0.02,0.01,225.38027799999998,0.0,0.0,G0,0.0033402446785172134,0.0916254310519496
0x7d7538,20.0,0.02,0.01,196.0,0.0,0.0,G0,0.003223573537025522,0.09961526876247227
0x5bd43e,18.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.003110090576983586,0.10738677439833144
0xbbe05e,22.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xb40dd8,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x41b926,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x3fa182,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xdb6fb9,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0x634b3,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
0xe002ae,20.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0032624117304602073,0.09695556338421367
