PVSize,Latitude,Longitude
1.8,52.35989295,-1.024270334
1.8,57.37794227,-2.389126131
19.3,52.3350777,0.157137877
3.3,51.84928088,-4.354772951
5,54.13890036,-3.239949031
2.6,50.9200502,0.226814691
1.5,50.994174,-3.087373805
1.8,52.57657564,-1.406833936
1.4,51.86755725,-2.485336999
11,51.14238447,-0.950101656
10,51.32517981,1.124023005
8.3,51.34500344,-2.861092296
4.1,52.25057157,-1.555825862
3,53.03176607,-3.059440716
2.2,51.49790706,-3.517365098
5.4,51.20905677,-2.578414827
4.8,54.67069138,-6.198533212
10.5,53.3224168,-0.697462528
13.2,52.43404027,1.60553944
32.5,53.01517202,-0.521411211
13.2,51.79403803,-1.426373413
10,50.94283906,-0.322279009
7.6,50.94634284,-0.342182362
32,52.75507138,1.356917195
5,51.18757572,-1.367366703
3.1,50.50268527,-4.89182694
5,50.50359329,-4.843688365
2.7,52.54974916,-0.147875689
4.5,50.04650625,-5.217963679
5,50.12167116,-5.135106686
5,50.28629203,-5.120900163
5,50.31973575,-4.835392306
1.6,50.48988909,-4.929764278
5,50.34140671,-4.930324853
3,50.80423094,-4.37692956
5,52.47456156,0.950121233
5,50.48003636,-4.738307986
5,51.97398725,-1.115974934
5,52.31812952,0.221094812
5,50.42976689,-5.00543192
4.6,52.77389996,-0.318601631
5,51.12523193,-3.924862164
5,50.69251597,-1.449123965
4.9,50.42388809,-4.805143661
5,50.69798297,-4.449439863
5,50.8051464,-1.3603244
3.6,50.49437196,-4.961953816
6.4,50.50715296,-4.326036156
7,50.42290573,-4.927794342
5,50.7000461,-2.324289405
5,50.931931,-3.345857771
5,51.21118892,-1.536415886
5,50.83732747,-0.705446981
5,50.7110229,-4.423290339
5.4,51.19472527,-1.665979524
4.8,50.7792163,-2.93544739
7,51.25879649,-2.586419466
2,50.8738919,-2.905818301
2,51.56170431,-3.089391085
3.3,53.3224168,-0.697462528
2.5,51.6008557,-2.912069655
5,51.05952501,-0.445968924
3,52.10950907,-1.204678132
5,50.43435474,-4.161799993
2.5,50.39732806,-4.748931499
34,52.80330684,-1.111551517
3.5,51.04370386,-2.427176353
1.2,50.94609668,-3.314109884
1.4,50.44076781,-4.777591172
5,50.75044227,-2.103098431
11,52.90113387,1.307032361
6.4,51.06415891,-4.10879472
31.6,52.13140366,0.517169847
19,51.65295969,-1.730474942
5,50.54231461,-4.349192414
7.2,50.30388478,-5.141365142
10.8,51.85012534,-4.952385717
7.3,50.21096309,-5.366110745
7.5,50.92611007,-3.127988154
3.5,50.17685646,-5.387189589
1.5,51.14612164,-4.137665078
7.6,50.93545634,-2.902203966
4.5,51.32023672,0.481581348
1.2,50.3996093,-5.055637367
3.6,50.77300829,-4.335304104
5.4,53.04089625,-2.989906488
1.8,50.79561818,-4.545054858
1.2,50.8744811,-3.315391665
1.1,50.85230776,-3.739620359
1.8,51.36264416,-2.094660527
6.5,51.27993785,-2.525568571
8.6,53.14800058,0.234829757
6,51.89918079,-4.866456529
5,50.47961646,-4.378304568
41,50.703451,-4.490614339
5,50.80236405,-4.293664191
5,51.71837521,-5.043933648
5.5,50.41147242,-4.778649676
6.5,50.56793829,-4.849808633
7,50.33157679,-4.929171582
5,51.05757537,-2.865179837
11.8,50.8025908,-4.367805301
4.7,51.00386858,-4.140824117
6.3,50.29166449,-5.139183514
1,51.62758077,-1.88761581
6,51.85624927,0.498279325
3.3,50.95170773,-4.119531765
4.4,51.9647011,-4.993110338
19.8,51.53361323,-2.449438406
9,52.64410245,-0.558802475
3,50.80949626,-1.359853425
13,51.84408448,-1.225780452
4.8,52.59442013,0.395340311
6.1,52.55939411,0.564123312
10.2,51.22532278,-2.944593903
5,51.97329201,-2.674723717
11.5,52.67322979,0.62711806
7.9,52.74497095,0.775786516
11,52.36059816,1.525770101
11.5,51.63592704,-1.356902787
12.3,52.35224782,1.473709563
10,50.36094212,-4.94608272
18,51.82789128,-4.633438415
6.4,50.42023821,-3.761042615
18.3,51.86476279,-1.143822419
1.5,50.91294997,-2.312624677
9.3,51.59225255,-1.716095512
14,51.62641289,-2.110811812
1.5,50.30394945,-5.138307464
8,51.3928834,0.869522149
6.8,50.70130893,-4.402451944
1.3,50.84233624,-4.095123888
5.1,53.10504985,-2.472766031
2.2,52.01955741,-1.80322574
1,52.02998829,-1.474842972
50,51.51041729,-1.812426931
5,52.27938305,0.391402689
9,52.41934005,-0.236580298
1.5,51.23113535,-2.436744733
1.7,52.07942556,-1.41688714
10.5,51.83463625,-2.925320301
1,51.22911836,-2.821776406
6.8,51.17826772,-2.019591559
4.8,51.00743772,-3.201228471
3.9,52.34034562,1.646732524
30,53.02218727,-0.735282508
10,52.43884938,1.605932458
7.7,50.30618971,-5.095052264
15,52.97224962,-0.355471589
4,52.72073502,-2.486304386
13.6,52.33961497,0.78860821
10.2,50.69752161,-1.132184137
13.2,50.84704395,-1.864753532
7.3,50.71059193,-1.137523197
10,51.56410623,0.389577955
6.2,51.11285863,-2.819211905
31.3,51.81948368,-4.91890346
24.7,52.37871393,-0.198163112
11,51.40166318,0.806357961
48,50.88440655,-1.081279601
14.6,52.14930953,-0.256331596
3,52.64410245,-0.558802475
4.9,51.82328487,-4.861255438
20,50.99242417,0.876250504
5,50.44199417,-4.21704942
26,52.8618778,0.771255729
6.9,51.7873799,-4.029080771
30,52.71207138,0.196506652
5,51.54153441,-1.870827061
3.8,50.80614637,-0.623524052
1.7,51.49545239,-3.695845823
3.5,52.30205141,-0.519555094
6.5,54.60880507,-6.167171153
1,52.68393559,-1.775523874
1,52.68399593,-1.764902448
5,52.73973833,-1.116147452
5,50.42951658,-4.663348429
5,50.39423895,-4.845522497
6.6,51.22739047,0.711926269
10,51.6334247,-1.361344981
5.1,53.22276926,-0.926573234
6,52.54326531,0.543979602
7.5,51.41856842,-3.326970523
8.3,50.35131202,-4.87590796
11.4,53.14269053,0.202315667
8,52.10838695,-4.523580742
7.3,51.14612164,-4.137665078
29,51.60509124,-1.400281653
5,51.51963275,-1.880703714
38.1,52.18453184,0.269932873
8.7,51.06730798,-2.757253
5,54.1750955,-1.495521065
5,51.19872089,-1.611622106
5,51.85017106,-0.648443584
4.9,52.91799739,-1.049998143
6.5,50.50467229,-3.74974139
4,51.24972599,-1.273926878
10.5,51.52446238,-1.791368274
2,51.42162692,-3.497721519
5.5,51.15386087,-4.173973709
6.8,52.35568129,-0.077407922
9.5,50.40158051,-4.378700913
8.3,50.83775301,-2.228205912
13.1,52.11910669,-0.029133651
4,52.07015792,-1.860965515
5,52.1466252,-0.756522169
1.2,50.81123328,-4.086747448
5,52.63997364,-1.258551563
8,51.3593433,-2.791301856
8.6,52.43927086,1.587363401
3.3,52.10244384,-1.920051522
5.3,53.38731644,-2.60287878
2.8,52.04856622,0.944442964
4.8,52.15408406,1.039132543
7.4,51.45367008,-3.388594997
4.8,50.35567276,-4.898794648
7,50.28972433,-5.120717689
6.7,50.88777285,-2.59619079
7,52.06653097,-1.465822383
5,51.59976445,-3.764648588
5,50.68863762,-2.223460538
3.6,51.04276218,-2.792028018
5,51.05414166,-2.317898216
14.3,51.18692777,0.340918655
14.4,52.07005101,-0.042310863
2.7,50.74003672,-1.552857413
7,51.63303194,-1.348765881
7.3,52.57571208,1.38898187
5,52.30332145,-0.777510286
12.6,51.95579772,0.579687471
29.9,52.25016413,0.348573287
21,51.5397113,-2.522746039
6,51.1750947,-2.010964477
7,50.86841517,0.120202322
16.5,52.12845699,-0.079739215
17,51.48060705,-1.564003451
6.3,51.40953996,-2.218894852
22,51.35506373,0.780783463
6.9,51.16817588,0.807834079
5.9,54.32356105,-1.487680146
13,56.36771899,-3.277080526
6,50.71306132,-1.260037797
4.8,51.44780563,-0.543316529
9.3,52.00799037,-0.013402092
3,51.86004564,-0.463268779
8.3,51.13124335,-3.908160901
12,51.49364072,-2.21741094
17.8,51.64906328,-1.790725269
11.9,51.91040283,0.993762283
7.5,52.17674552,-0.484362991
16,52.30270802,-0.525326441
13,51.82193057,1.087277688
13.5,51.77081365,-4.03804865
7.1,51.35013938,-2.824643789
7.7,51.70066145,-3.94757092
4.7,50.3502058,-4.249825092
20,52.88167504,-1.74301728
12,50.76442553,-0.793076983
8.7,50.3497413,-4.036993465
4.2,51.93921763,1.136364337
8.1,52.31633523,0.498938362
8.2,50.85600602,0.174812445
5,50.4391037,-3.73133783
14.5,50.81384326,-0.63567576
5,52.08785097,-1.667311726
6.1,51.27464284,-2.189925339
11.3,51.35806501,0.688870113
5.3,50.48353178,-4.733491277
10,50.71271818,-2.16537731
8.7,51.58854094,-1.936225091
5,51.6865639,-3.95823561
4.7,52.15422423,-0.810744886
5,50.76127266,-3.420782275
5,51.3105483,1.338878517
15,51.52266475,-3.618743776
40,51.19607018,-1.460130955
12.5,50.75992844,-3.404804823
10,51.635067,-3.169797248
6,50.82909334,-0.69204329
6.6,52.96088292,-2.724064387
5,52.63032374,-1.348161213
15,51.53893489,-2.531445962
1,52.02122994,-0.013602537
8.2,52.68680345,-2.942007453
9.6,51.45122216,-1.985963317
2.8,51.82475614,0.719514465
12.2,51.82475614,0.719514465
2.8,51.31183717,-1.11136619
6,51.19833809,-2.383952445
17,51.04864818,-2.434868316
10.6,51.10221131,0.976451239
19,54.77803923,-3.324073674
11,50.30368672,-5.075492969
8.5,50.19873352,-5.169110446
5,50.40731112,-4.451823971
15.8,51.41753514,-1.014377698
3.4,51.78191596,-2.622969061
15.6,50.82138333,-4.427539392
3.7,53.27430956,-0.294364217
7,51.1780741,-2.923670846
6.1,50.74818765,-2.061393005
4.2,52.93559957,-1.059105485
5,53.69674788,-0.063734922
5,51.4889831,-2.396054622
6.5,54.17451323,-3.209699368
9,52.15355876,-2.034097909
13.5,51.38010297,-2.16274582
1.3,51.37132818,-1.967584787
6.4,51.00867804,-1.391482154
37,51.76010693,-1.639601662
12,50.35335721,-4.904347675
46,51.64396554,-1.373582264
11.5,52.94732982,-2.020332376
4.1,50.29325832,-3.767117646
1.1,52.13659266,1.365710101
27,51.6624715,-1.700375551
4.3,52.8780226,-1.8320417
10.7,51.18458484,-2.335750002
1.8,51.51492637,-2.657594418
4.8,52.18131842,-1.956795546
8.9,50.84496228,0.235681236
12,50.89053083,-1.332967411
12.5,51.86803101,-1.182379156
20,52.90569218,0.830153007
3,50.74487368,-2.095078319
12.7,51.5978009,-1.69833217
5,52.68868438,1.39995129
2.8,52.10111912,-1.787027547
5,50.70554395,-2.143586061
13.9,52.70729237,-1.472495599
7,50.76500402,-3.398533271
5,51.63903174,-2.655096863
18.7,52.78064849,-1.026230347
11.3,50.73553726,-2.097553348
1.5,50.35624774,-4.2020427
11.5,51.01406139,-2.608572067
12,51.54635599,-1.881441563
5,51.61825457,-1.751421375
5,51.82124298,-2.399790185
8,50.78546082,-2.924861737
24,52.32899265,0.218175337
11.6,52.00881664,1.286860447
5.4,51.01332842,-2.564728318
4.3,51.74776049,-0.934825401
10.5,51.8046111,-1.294027623
5,52.69193923,1.103875971
6.2,51.33860551,1.347639436
24,51.74909171,-5.040740056
10,51.20979867,1.276388833
12.5,52.43339087,0.500923086
8.1,51.59734398,-2.472444952
3.8,53.22786678,-3.024833903
7.2,52.94544819,-2.917883432
30,51.95923177,-2.121499298
16.7,52.03281546,-1.105311166
12,51.17210082,-1.099706933
7.7,51.6435638,-2.406462049
1.8,52.79969676,-1.36420245
34.8,51.64331796,-1.817790527
13,50.86132418,-1.900844429
49.9,52.79050156,0.744776521
12.5,51.78543325,-1.608173568
7,51.162149,-1.506246448
3.5,51.13029815,-2.79525418
3.5,51.12847409,-2.784404891
6,51.44132535,-3.323975447
5,50.82448909,-3.397385441
5,51.4679003,-3.243186547
1.6,50.44135311,-4.242976908
5,51.01893902,-3.684641861
5,50.72384967,-4.405447177
5,51.06666535,-3.116659336
12.6,53.17866849,-4.41480944
36,50.79585748,-1.856331104
8,53.24792317,-1.34644533
14.4,52.82444471,-2.809575643
20.4,50.86523737,-1.88297462
13.9,53.16533563,-4.241439799
5,53.01237033,-1.602525599
4.1,50.64728543,-3.382488142
7,50.81732347,-1.924302524
2.6,51.55872506,0.282720506
10,50.93734047,-2.86596318
4.9,51.00592807,-3.22192794
10.6,50.43588384,-4.378801095
19.5,50.47413031,-4.316324211
6,50.16010313,-5.183301119
2.6,51.21384849,-2.585848062
4,53.30264606,-0.919454359
9.9,50.42628627,-4.365591487
5,50.9335285,0.110808643
3.9,51.20418744,-2.528069332
12,51.45513376,0.614202712
12.5,51.72408689,-1.913161273
4.4,51.43081399,-3.407278821
7,51.06116488,0.812541809
3.9,50.77349031,-2.047669887
9,53.14395867,-0.160538099
18.8,51.94306501,0.929579383
9,52.13672843,-0.692711521
4,50.76677764,-3.465731702
4.2,51.32797501,-1.112188242
27,53.3124432,-0.999748874
16.8,52.23165103,-0.596796846
2.3,51.35161693,-2.503930076
10.8,50.89886545,-2.777226223
4.4,52.21345355,-1.737183264
20,52.73489199,-2.707961092
4.9,51.30656779,-2.038740752
4.9,53.15507093,0.29653691
4.9,53.20707286,-1.372400066
1.2,51.01735644,-2.959093819
4.7,53.10725377,-1.299090353
1,52.56930831,-3.050397088
8.1,50.93133632,0.237686179
4.7,52.5295035,-0.026200447
8,50.65818962,-3.393447561
1.5,51.07938156,-2.695537819
22,52.0719498,-1.910228724
14,51.72576351,-3.158194636
1.8,52.66911184,-2.126701522
2,53.77093857,-2.57818648
12.1,51.81347279,-4.94174582
7.5,51.92479682,-0.611838972
14,52.12671847,-0.805166466
5,53.2372678,-1.342547206
2.4,52.37027808,-0.131448885
5,51.74831347,-0.896324134
5.6,51.83699633,0.788600178
20.5,52.44876843,-0.798222897
11.4,51.17879788,-2.978420995
8,53.26010823,-1.187804997
18.7,52.83969073,-1.685367448
16,52.75680552,-1.499013819
3,51.22167294,-2.91159862
5,52.06502327,-0.02230994
69.8,51.50664227,-1.968037163
8,53.02759527,-0.399115686
5,52.17522261,-0.780366582
8.5,51.63272705,-3.158221307
8.1,52.92587057,-0.105662207
10,52.90268027,-0.950764862
10.2,52.6222907,-2.713055554
12.3,52.63267838,-2.730053894
5,53.62081649,-1.160216611
7.5,51.76583925,-3.62119857
6.2,51.87182786,-0.632557113
13.1,51.83949281,-0.739482919
10,52.33359174,0.225597816
31.8,52.07824756,0.048908316
5,53.3659143,-1.033002317
14,50.40845137,-4.029532065
4.1,50.87443405,-2.987524197
9.2,51.98854909,-1.00503974
12,52.03938674,-0.894346784
5,52.10794542,-1.020739459
4.3,52.23469531,-1.544226
11.6,50.81821312,-2.169781705
4,50.80319603,-1.864383224
13.5,54.518139,-6.099400029
6.1,52.80950675,-1.087450724
28.5,51.73567036,-2.362368168
24.2,51.81058764,-0.733848806
5,51.62189721,0.4466912
38,53.56043162,-0.581262133
1.8,51.08060769,-2.510157883
4.9,51.56386107,-3.291550927
5,51.3895413,-0.961041276
5,52.94813949,-0.847684948
5,50.9069029,-1.840430978
31.6,52.06486405,0.011005081
13,51.11047855,-4.120518217
5,53.28679749,-3.525208634
48,51.3515623,1.098598245
5,50.84041076,0.190677683
1.2,51.5868387,-1.131373472
16,53.24062474,-1.107962879
17.6,52.1026446,-0.923195553
6.2,54.02226267,-2.822834283
5,53.70277182,-1.242278603
10,51.98741803,-0.481806309
9.2,51.17264888,0.41202844
5,51.62723715,0.843022657
19.7,53.23111535,-1.091441676
10.7,52.52949339,-2.490939383
14.6,51.28711134,-2.981295243
6.5,53.31993815,0.094724787
14.7,52.61305526,-1.558992121
10.4,52.21417937,-1.44549523
9.3,50.86213908,-0.792730423
17.5,52.19647777,1.410106302
20,50.79179877,-1.861238168
11.3,53.22391689,-1.137682831
3.1,52.44850266,1.674748526
10,51.38332052,-2.170100067
11.6,51.74092746,-3.591251653
5,50.75097924,-4.45063269
5,50.8148224,-0.682533726
5,51.34843675,-2.515654953
15,52.26789994,-0.42342746
5.2,52.60321084,1.030372207
8,51.85391264,-1.131846622
18,50.75549091,-1.750244841
8.1,53.40747168,0.018847828
5.9,51.28845871,-0.883504749
10.7,50.69395307,-1.443075848
5,52.0962476,-0.742872446
11.9,53.15467569,-1.013991663
14.2,53.21128214,-0.879810888
18.9,53.1813306,-0.473592809
6.5,54.60771184,-6.189945596
6.2,51.68490517,-4.907845601
8,51.64231404,-4.94841226
4.7,51.67250626,-3.381077401
45,52.11118026,-0.069061103
8,50.38601525,-3.766442169
5,52.69799944,-0.132859441
21.3,51.67045603,-1.059656152
6,51.69999315,-3.992765809
6.5,50.59211542,-3.533709447
5,50.97581685,-4.346764388
7,51.41779779,-3.30753366
6.8,51.17256799,-3.359676572
20,51.33150043,-2.224048635
8,51.60549022,-1.898673141
12.3,51.15140508,-1.737907736
45.7,53.24089236,-3.022717634
3.8,50.462433,-4.91985043
14.5,51.61761486,-2.053146864
15,52.25260002,-0.589250525
15,53.23334201,-4.404655214
6,51.69649778,-3.939433391
6.7,51.79527925,-4.018399317
8,53.34676425,-0.929380351
13,52.04045632,-0.253207507
16.6,51.30758659,-2.084590887
7,51.39491822,-3.404940606
10,52.33100771,0.225776301
5,50.77785086,-2.394254405
5.1,52.05294109,-1.153327262
16.2,51.71279938,-4.178055563
5,52.13389655,-0.847052638
6.1,51.74725902,-4.794505888
12.7,52.74599531,0.05093856
18,51.35664107,1.085437372
11.5,50.8731568,0.427475418
12,53.24386372,-0.428656962
13.4,51.6744541,-3.276487254
24,52.07956599,0.002019137
9.1,51.34222294,-2.185596414
6.8,51.25569462,-2.904060385
6.1,51.80993869,-5.007446009
5.7,52.99019967,-1.082962387
4.8,53.14202131,-1.025224893
17,51.27379974,1.143922717
8.5,52.28158477,-0.693803774
5,51.60940974,-3.829464581
8,50.28867382,-5.196709787
9.6,50.44235305,-4.816391811
7,51.54308023,-2.165057834
1.5,51.50798621,0.137686373
5,51.07632605,-2.689154148
1,51.06961354,-2.640928093
1.8,51.40411847,-0.397698654
2,52.27362654,-1.535737062
6.1,52.85049753,-1.357639806
4.5,52.33537372,-2.494318836
5,50.62781891,-2.494791449
2.9,52.45835801,-0.842983227
5,51.85640224,-0.468649474
5,51.03189835,-3.166550222
10,50.81807424,-0.731716742
5,51.62015136,0.697449115
8.9,50.1808234,-5.132634384
6,54.5715733,-5.569156187
8,50.77838505,-1.863958437
5,51.14628021,-2.539545162
2.6,51.68822744,-3.180397056
3.5,52.63785036,0.162132592
10.2,53.32262696,-0.694483428
1.2,52.98753492,-3.444579487
2.7,52.86804476,0.920205391
2.4,51.15043928,-4.131215549
5,54.16978622,-1.31563162
1.5,52.8279889,-1.286968788
5,51.6667644,-2.408159054
1.8,50.8393831,-2.937047872
1.6,57.62141475,-2.042842965
9.5,51.22435814,-2.763895137
3.8,50.77622667,-1.871779335
5,50.84808808,-0.701853602
2.5,52.75850242,-1.597681989
5,51.61300665,-1.816684174
3.8,57.30860543,-2.827155313
5,51.04834173,-1.833455447
5,53.59759,-2.683989046
4.8,50.95493715,-3.302826706
5,50.87828519,-3.384566637
5,53.80845471,-0.315811493
5,52.21036962,-0.207075604
5.9,51.82361939,-4.928358094
10.6,50.67720311,-1.245429532
1.7,51.36711235,0.654199027
5,51.0181043,-3.865043303
9.5,50.44716903,-4.013102495
12.1,50.8448618,-2.167094675
2.8,52.75614846,-1.440478559
10,56.57403789,-2.709142232
10,51.36976921,0.698895691
5,52.15670862,-1.931414545
8,51.37204634,-2.876282053
5,53.6358042,-0.933707749
10.5,52.70347451,-2.574730986
5.3,51.88499288,0.39439973
4.8,50.92691109,-3.13811012
10,52.93791072,-2.643585243
4.9,52.9138397,-4.478893218
7,51.16363101,-1.512280059
3,50.46713624,-4.697566356
27.1,53.5251174,-0.146084441
5.9,54.96376174,-6.492960446
5,52.60512131,1.30635551
5,53.87255167,-2.765442774
5,51.19483921,-2.318422602
2.8,50.35498804,-4.240659971
4,51.63701623,-4.012952132
5,50.80989648,-2.638785257
1.8,51.53245864,-2.668947896
5,54.61396434,-3.5299777
5,51.0356814,-2.391662003
1.5,50.37672187,-4.956991921
10,50.75768197,-0.784531146
3,50.81964443,-0.544917794
5,54.60774003,-1.596795683
6.6,51.17814243,0.359646496
5.5,51.75869929,-4.122446564
6.9,51.91838395,-2.371515335
5,51.40656151,-3.386203895
6.8,51.91998631,-2.37372415
5,51.32649239,-2.233065805
5,53.0099048,-0.054955312
5,51.1487197,1.32834893
25.7,54.50580314,-6.186278585
5,56.63499512,-2.704335383
2.6,53.188059,-1.007149961
11,51.14238447,-0.950101656
4.5,51.05344538,-4.125302451
5,50.97976283,-3.247964902
5,52.64271164,-1.311561817
3.9,52.37255868,-0.194285701
1.3,54.41045716,-6.413056977
1.3,53.90913875,-3.018670375
10,52.32846527,0.317289641
8.1,51.734237,-2.94594497
1.3,55.87871978,-3.648237033
0.5,52.38930131,-2.762339824
8.4,52.99700848,-2.06036078
5,54.1308097,-2.55203043
3,50.94286,-1.202694037
2.5,51.67115683,-4.74642355
25,52.20026195,-1.77508346
2.6,52.9159708,-1.794627047
5,52.9874029,-3.070435841
5,54.14807379,-1.232397291
6,51.63397876,-2.731198111
4.7,53.02686924,-1.65724531
1.2,50.81019492,-1.089974303
1.5,50.47085442,-4.699751259
49,51.10762062,-1.530195878
8.5,51.60114664,-2.878650271
6,54.74151514,-6.238796079
5,51.91190214,1.153539507
6.7,51.9354437,-2.089813652
5,52.00784404,-0.927191163
4.5,51.39623257,-3.25426538
9,50.82119415,-2.555677388
5,54.05206077,-2.878274861
3,50.88592285,-2.943426359
3,51.47451249,-3.292783402
5,51.27739238,1.307215036
22,53.24386372,-0.428656962
6.2,52.79969676,-1.36420245
10.5,51.8606762,1.005041793
5,53.22665203,-1.374330867
5,50.8117139,-2.958991135
4.2,53.79182295,-2.620339663
5,52.38091238,-2.675310279
4.9,50.36007865,-3.747257849
4,51.97987452,-1.997871688
5,50.97702088,-0.168368328
5,51.87331391,-0.357848365
5,51.37966187,-1.193219784
5,52.77424833,-1.65347995
5,51.04628315,-0.434186052
1,52.95878593,-2.955859223
1.8,52.760374,-1.744294213
5,52.97124897,-0.722459127
4,51.52380928,-3.425236695
