Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
40,21,0.3501699531830911,250,4110,1.8049805867830384,345.3407048656328,951.6393720694368
11,25,0.2429218879227824,250,4110,1.363290602381449,566.770887699906,1350.943726276026
-22,23,0.26215138473233995,250,4110,1.3702957206634772,541.2251226074073,1257.5167686046213
-13,26,0.2801951086639429,250,4110,1.4330946132682725,485.47822169894624,1169.5130192459992
-5,29,0.3234790549749529,250,4110,1.5679483971420547,397.1711319672621,1028.7167915044397
39,23,0.29966669418758984,250,4110,1.5871618651452004,433.0605278513029,1105.5463318138072
13,28,0.2364556022302612,250,4110,1.3771352691149863,576.0689857769974,1381.2161806436056
1,21,0.3002488819621412,250,4110,1.55967573175777,420.7355297741274,1069.672205817377
27,30,0.2417751927860777,250,4110,1.3057212740838633,574.3489475223778,1344.8511709955499
-25,21,0.261024021595079,250,4110,1.379769138073674,526.8761377041476,1253.2897583764357
-27,20,0.2630346927477128,250,4110,1.3647370029503745,522.6348504870322,1243.4976603476814
3,27,0.28919534095738564,250,4110,1.466968464305507,478.78655386087684,1154.6751520152868
49,24,0.40275907020582696,250,4110,1.846651044259541,306.65537823032037,854.2448995883145
12,25,0.2384970716787832,250,4110,1.35953014425771,574.7180040009414,1376.4222033124374
-31,28,0.33682124316229217,250,4110,1.5820886072776232,389.4533422232853,989.631338997654
55,22,0.4699138548274578,250,4110,1.8246368016181385,310.56068769383666,810.7137885676714
14,26,0.2325744348980119,250,4110,1.3401150084301279,586.9712672827152,1395.0879030981814
41,30,0.3382974643899692,250,4110,1.7175548597829762,356.36900509099416,979.9557024134076
-2,28,0.3214826024828963,250,4110,1.5990056642543005,400.41559089544165,1041.6949407267502
-27,29,0.2898364359212542,250,4110,1.4843302811499717,467.05942919595907,1135.107146000863
57,23,0.5668327550226682,250,4110,1.855969976123712,288.2268294374365,801.6047319264095
53,29,0.4668615604966078,250,4110,1.8241395581986093,311.954150657832,815.3592223343762
-34,20,0.3226923424133672,250,4110,1.5798703837315275,395.0131705226072,1015.2309804523339
-6,26,0.29973615243993024,250,4110,1.4663612670998114,451.032506716017,1109.8212891462908
0,27,0.3152583498192801,250,4110,1.5561153103304008,421.00762264827097,1057.0145660515236
-9,24,0.2894376850264151,250,4110,1.5077025288276298,442.86962181014917,1117.9073062849886
-28,26,0.28290473721896325,250,4110,1.4075669536566966,501.1155414518518,1167.154820152385
25,21,0.2390916629393368,250,4110,1.3394947805389192,572.4923633591368,1361.746933906203
41,20,0.31357880746740385,250,4110,1.5480359331676443,444.99197851121943,1071.9817475445532
30,26,0.2462878506615115,250,4110,1.3519690600707428,555.7642801966708,1339.3492209377894
-10,25,0.2903830193280077,250,4110,1.4710513524983428,459.6845371866707,1130.5340996446764
-30,20,0.2708119313970654,250,4110,1.3963024878466634,502.8937854715877,1206.6795457395922
46,27,0.36619729016323305,250,4110,1.7232234597386915,363.37978328319474,931.3015805213084
22,20,0.2331685980846933,250,4110,1.3039230743751522,597.4198007125891,1413.0671103102698
-6,22,0.2968987056869684,250,4110,1.5546955742660291,417.19841752224505,1069.3928521026944
11,29,0.2479897837041803,250,4110,1.4249036381327889,543.6170568869242,1310.4977308732055
24,25,0.2370564149123313,250,4110,1.2946983275584198,586.0957347380744,1369.3198436936427
-2,20,0.309566165581171,250,4110,1.5798621584815795,403.7391177275839,1035.1795863524485
37,27,0.2864948222383267,250,4110,1.5912406317207064,454.8407395445135,1158.0570410353146
-3,26,0.3146061739769577,250,4110,1.5534395333462394,407.7308547742589,1056.5519493237546
2,28,0.3011982520824607,250,4110,1.5013811473721854,455.4533712362522,1114.1032685797493
31,22,0.2499774255211148,250,4110,1.3733571234991209,542.9856390907505,1301.0826160181375
42,23,0.3308805699519469,250,4110,1.6270201633946095,401.2022808350949,1018.6033826611521
55,28,0.5088281586051092,250,4110,1.886299026651854,282.7079257241012,796.526683710761
24,29,0.23779045845621616,250,4110,1.302592398048677,581.5444015587738,1356.6770412896335
55,22,0.4699138548274578,250,4110,1.8246368016181385,310.56068769383666,810.7137885676714
42,23,0.3308805699519469,250,4110,1.6270201633946095,401.2022808350949,1018.6033826611521
57,23,0.5668327550226682,250,4110,1.855969976123712,288.2268294374365,801.6047319264095
28,25,0.2435171506219713,250,4110,1.3199725289966715,569.6172788636496,1339.932381546027
11,29,0.2479897837041803,250,4110,1.4249036381327889,543.6170568869242,1310.4977308732055
9,25,0.2504900103602941,250,4110,1.408198544160381,543.0701360112754,1308.9253844747022
24,22,0.2389838473356218,250,4110,1.3136085225143832,584.3110198816568,1373.4401902260674
43,24,0.3577894682486676,250,4110,1.7424108934611782,359.3987143109645,935.1243903953443
