Inputs.PrjLoc,Increase,Intensity,Outputs.LCOE,,,Increase,Intensity,Outputs.LCOE,,,Increase,Intensity,Outputs.LCOE,,,Increase,Intensity,Outputs.LCOE,,,Increase,Intensity,Outputs.LCOE,,,Increase,Intensity,Outputs.LCOE,
UKAvg,1.8,300,1.094898451,,,1.3,6.1%,14.9%,21.4%,23.0%,23.0%,,,,,,,,,,,,,,,,,,
UKAvg,1.9,300,1.040290492,,,1.4,8.0%,19.0%,26.6%,28.5%,28.5%,,,,,,,,,,,,,,,,,,
UKAvg,0.5,400,3.762355258,,,1.5,9.8%,22.6%,31.2%,33.3%,33.3%,,,,,,,,,,,,,,,,,,
UKAvg,0.6,400,3.138841245,,,1.6,11.5%,26.0%,35.2%,37.4%,37.4%,,,,,,,,,,,,,,,,,,
UKAvg,0.7,400,2.692610092,,,1.7,13.2%,29.1%,38.8%,41.1%,41.1%,,,,,,,,,,,,,,,,,,
UKAvg,0.8,400,2.357463023,,,1.8,14.8%,31.9%,42.0%,44.4%,44.4%,,,,,,,,,,,,,,,,,,
UKAvg,0.9,400,2.096511837,,,1.9,16.4%,34.5%,44.9%,47.3%,47.3%,,,,,,,,,,,,,,,,,,
UKAvg,1,400,1.887573447,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.1,400,1.716506402,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.2,400,1.573869706,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.3,400,1.453119681,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.4,400,1.349577728,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.5,400,1.259810041,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.6,400,1.181239441,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.7,400,1.111893928,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.8,400,1.050238896,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.9,400,0.995062236,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.5,500,3.762355258,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.6,500,3.138841245,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.7,500,2.692610092,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.8,500,2.357463023,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,0.9,500,2.096511837,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1,500,1.887573447,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.1,500,1.716506402,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.2,500,1.573869706,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.3,500,1.453119681,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.4,500,1.349577728,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.5,500,1.259810041,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.6,500,1.181239441,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.7,500,1.111893928,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.8,500,1.050238896,,,,,,,,,,,,,,,,,,,,,,,,,,
UKAvg,1.9,500,0.995062236,,,,,,,,,,,,,,,,,,,,,,,,,,
