Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
1,21,0.35275447964309065,NoEnhancment,4110,1.0,420.7355297741274,911.0827185009528
28,46,0.27796513826394065,NoEnhancment,4110,1.0,537.6019451941776,1178.412464877247
-2,14,0.3781609928362321,NoEnhancment,4110,1.0,410.8327816050496,890.8876961273819
22,50,0.2643133524922083,NoEnhancment,4110,1.0,563.3931440209486,1220.7149491284624
31,45,0.2861748928337391,NoEnhancment,4110,1.0,525.7899206658403,1149.2377627650185
65,33,0.5439575870224371,NoEnhancment,4110,1.0,217.30498337559882,500.4403484667164
-14,21,0.3206849520902353,NoEnhancment,4110,1.0,484.781064854049,1020.341129207713
53,86,0.5719319588882011,NoEnhancment,4110,1.0,298.6070065189048,669.4166751024379
-1,-68,0.3833841424873786,NoEnhancment,4110,1.0,403.3327325422181,832.3070083905852
65,9,0.4215107301480253,NoEnhancment,4110,1.0,264.9886719990988,596.8340389732421
39,71,0.4740751598917902,NoEnhancment,4110,1.0,318.6594775151,696.2509708489729
-10,29,0.3306969139367772,NoEnhancment,4110,1.0,469.01225978331655,996.3457381578661
39,41,0.3770374782360013,NoEnhancment,4110,1.0,425.1228478907135,896.0462593368152
-18,-62,0.3457093436138015,NoEnhancment,4110,1.0,428.7694460895314,936.1133839129468
69,-21,,NoEnhancment,4110,1.0,204.82330621998832,
-11,-72,0.3861452677768713,NoEnhancment,4110,1.0,391.57338579476163,838.2737367652068
22,-3,0.2655508987614233,NoEnhancment,4110,1.0,550.0617474217894,1203.7588451752938
-16,-44,0.30958781401749064,NoEnhancment,4110,1.0,518.4454230612364,1048.605901865195
28,23,0.2654896358348655,NoEnhancment,4110,1.0,561.8224121807236,1226.7769960301
-24,19,0.2811770910673171,NoEnhancment,4110,1.0,546.1082158723389,1172.6660834399545
6,0,0.3212055053143516,NoEnhancment,4110,1.0,481.10340846409883,1035.317025344019
-4,37,0.32041715874397514,NoEnhancment,4110,1.0,462.95675861282234,995.6808915022726
-19,-69,0.2629563773678045,NoEnhancment,4110,1.0,570.8987972615707,1222.01365328784
55,63,0.57977191279013,NoEnhancment,4110,1.0,302.3356345483547,678.5968599405353
68,15,0.5379218263803628,NoEnhancment,4110,1.0,212.94429605927917,506.88027658959663
6,40,0.3041597834590457,NoEnhancment,4110,1.0,531.3629903620122,1082.6757001093652
24,11,0.2600582026507455,NoEnhancment,4110,1.0,568.9860584018186,1243.335523744238
20,55,0.25815169418954675,NoEnhancment,4110,1.0,594.4960432612312,1280.3431155942512
32,59,0.27756056504003945,NoEnhancment,4110,1.0,526.8528932073034,1177.644820495071
66,17,0.5230829368300461,NoEnhancment,4110,1.0,226.1024236490896,519.8956920253088
46,28,0.4315538056649453,NoEnhancment,4110,1.0,373.2595504796925,790.622203345774
57,43,0.6202403900783782,NoEnhancment,4110,1.0,281.6441000299133,627.8981294891927
63,32,0.5179387563852678,NoEnhancment,4110,1.0,222.284696564864,511.4380711339682
-16,-69,0.2681035007144761,NoEnhancment,4110,1.0,553.5872655529954,1198.2864102512792
-29,29,0.3543671361574837,NoEnhancment,4110,1.0,446.712412581164,937.1330709577053
49,66,0.4332024977353337,NoEnhancment,4110,1.0,349.2975510371499,804.5770052808573
35,53,0.2887797915051104,NoEnhancment,4110,1.0,517.3595119389398,1132.6613941939606
17,25,0.2456409653501391,NoEnhancment,4110,1.0,603.1093911357726,1318.2750716855612
49,84,0.494243316826915,NoEnhancment,4110,1.0,316.62558244462673,734.0568447498422
9,47,0.2567294266449601,NoEnhancment,4110,1.0,595.7422566100096,1288.7400050070582
63,23,0.4597774558871086,NoEnhancment,4110,1.0,247.140059703177,551.8084292029404
42,66,0.3396488529193136,NoEnhancment,4110,1.0,442.64123699421964,983.9394492751981
41,-87,0.4008643153073729,NoEnhancment,4110,1.0,376.3304231433505,813.7448278488147
63,29,0.4867986312531475,NoEnhancment,4110,1.0,230.34758808933003,527.3022285965346
25,8,0.2675939989184322,NoEnhancment,4110,1.0,558.601016685337,1223.609785567469
29,56,0.2841840489806253,NoEnhancment,4110,1.0,515.747867760123,1141.3858980816624
21,5,0.2567553599894252,NoEnhancment,4110,1.0,586.6465004753983,1285.437384301292
8,35,0.380894993514216,NoEnhancment,4110,1.0,387.3629029137529,856.984162235796
-6,-62,0.3698965021346914,NoEnhancment,4110,1.0,421.7591514725686,882.0409085212021
41,89,0.3256998081710292,NoEnhancment,4110,1.0,464.6848843386181,1021.1349441753656
44,80,0.3600632710615472,NoEnhancment,4110,1.0,428.04398020845525,935.4689791238693
