Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
1,21,0.1690872243369691,800,4110,2.2987126799199338,420.7355297741274,1896.3788531670389
-14,21,0.15724215221025256,800,4110,2.2390595835156377,484.781064854049,2077.414691661984
-2,14,0.17254014700707512,800,4110,2.3483774043072967,410.8327816050496,1948.913945193279
65,33,0.2380534677977049,800,4110,2.4448138826544765,217.30498337559882,1143.3680996730225
65,9,0.1904701212412475,800,4110,2.412065042433324,264.9886719990988,1321.5205831518228
53,86,0.28302875104328995,800,4110,2.3326651054622776,298.6070065189048,1355.0753663487064
-1,-68,0.17794664038850375,800,4110,2.3339686506969084,403.3327325422181,1791.4474153519473
22,50,0.14734681119227813,800,4110,2.0677751754402407,563.3931440209486,2192.5278356741887
39,71,0.25242991497114925,800,4110,2.2799420391232235,318.6594775151,1310.939091930321
31,45,0.1543557882468422,800,4110,2.129072410914512,525.7899206658403,2134.550888272699
28,46,0.15132716585216116,800,4110,2.1118717933517,537.6019451941776,2168.072711863518
-10,29,0.15967030198968504,800,4110,2.263825732619906,469.01225978331655,2060.2155728662037
-4,37,0.1643223540468153,800,4110,2.217078674881812,462.95675861282234,1936.7413161057104
22,-3,0.14819237414597408,800,4110,2.077528518390507,550.0617474217894,2159.140551887753
-16,-44,0.15947103757615624,800,4110,2.1721899105839118,518.4454230612364,2031.2150267593865
-18,-62,0.16384448147245567,800,4110,2.301107263598792,428.7694460895314,1972.1493724505085
28,23,0.14862304114712824,800,4110,2.0698671565569158,561.8224121807236,2195.430364901109
69,-21,,800,4110,2.433820726548592,204.82330621998832,
-11,-72,0.17181164951152214,800,4110,2.380651110272925,391.57338579476163,1882.257174481501
6,0,0.1582805887345086,800,4110,2.236973678936247,481.10340846409883,2095.805549158587
-24,19,0.14921467823575393,800,4110,2.132990095088652,546.1082158723389,2203.971778260025
39,41,0.20335884689955305,800,4110,2.2072595632677148,425.1228478907135,1665.4894551556185
-19,-69,0.14871148745370966,800,4110,2.0586318551843976,570.8987972615707,2158.388917606058
63,32,0.22471407803045249,800,4110,2.447445963510323,222.284696564864,1178.3837503753075
20,55,0.14836065914769728,800,4110,2.0058139870420093,594.4960432612312,2228.3420787122373
32,59,0.15033234666111886,800,4110,2.1271271045429367,526.8528932073034,2178.582631399825
68,15,0.2333954404755284,800,4110,2.450554398443086,212.94429605927917,1168.2653671710464
66,17,0.2273850596184596,800,4110,2.445298086978039,226.1024236490896,1195.6016003613408
