Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
-34,20,0.041954887,OPVTypical8,4595,2.464526863,395.0131705,2919.190565
-32,26,0.039077604,OPVTypical8,4595,2.435354006,436.7248829,3148.904812
-32,28,0.04460875,OPVTypical8,4595,2.462238906,378.3546199,2799.891573
-32,22,0.037069935,OPVTypical8,4595,2.417080816,461.5340406,3291.186624
-32,21,0.036507355,OPVTypical8,4595,2.412372522,472.9307478,3341.993506
-31,25,0.037266936,OPVTypical8,4595,2.424661746,459.2874054,3282.084805
-30,22,0.035469304,OPVTypical8,4595,2.39347083,490.8414593,3440.362164
-29,23,0.035682584,OPVTypical8,4595,2.396238447,486.8294853,3420.191562
-29,24,0.036226674,OPVTypical8,4595,2.394924313,482.4382981,3372.952236
-29,25,0.036471501,OPVTypical8,4595,2.400209063,487.0500426,3355.757269
-28,26,0.036133672,OPVTypical8,4595,2.392400833,501.1155415,3409.630667
-28,27,0.036177132,OPVTypical8,4595,2.405255216,491.0636313,3397.747904
-28,21,0.034330948,OPVTypical8,4595,2.379999081,509.2933665,3553.196058
-26,25,0.034946676,OPVTypical8,4595,2.397169452,505.2152735,3523.068648
-25,20,0.033060847,OPVTypical8,4595,2.36465707,532.0066799,3692.955234
-24,23,0.033500482,OPVTypical8,4595,2.372003253,534.5869979,3650.932588
-23,28,0.034448362,OPVTypical8,4595,2.400684211,513.3489454,3523.357482
-22,26,0.033315723,OPVTypical8,4595,2.382905005,539.4168738,3671.413742
-22,25,0.03305226,OPVTypical8,4595,2.381780931,540.1500976,3708.867347
-22,26,0.033315723,OPVTypical8,4595,2.382905005,539.4168738,3671.413742
-21,27,0.033806284,OPVTypical8,4595,2.392167725,524.0676433,3592.556485
-21,23,0.033090608,OPVTypical8,4595,2.378042533,546.2980491,3710.95193
-21,28,0.034389475,OPVTypical8,4595,2.397138354,519.1517979,3519.205229
-20,29,0.034625022,OPVTypical8,4595,2.40736432,510.6628826,3499.174607
-20,26,0.033218895,OPVTypical8,4595,2.385614792,540.1042159,3672.51189
-20,24,0.033314584,OPVTypical8,4595,2.391840654,532.9360301,3676.173287
-20,20,0.033059661,OPVTypical8,4595,2.385912134,543.5894367,3715.854401
-19,24,0.033658001,OPVTypical8,4595,2.399212883,531.8957508,3632.708693
-18,29,0.03307682,OPVTypical8,4595,2.400621417,528.7079637,3674.514764
-18,30,0.033533863,OPVTypical8,4595,2.420959277,515.026061,3625.061096
-18,21,0.033406,OPVTypical8,4595,2.398049537,547.5243823,3707.71679
-18,25,0.03366657,OPVTypical8,4595,2.399519477,533.1091584,3622.13125
-18,30,0.033533863,OPVTypical8,4595,2.420959277,515.026061,3625.061096
-17,30,0.033891923,OPVTypical8,4595,2.431621149,497.9868221,3590.200118
-17,25,0.03379594,OPVTypical8,4595,2.415585475,517.5220149,3598.508443
-16,28,0.034135716,OPVTypical8,4595,2.433879709,497.1527163,3567.329691
-16,25,0.033879763,OPVTypical8,4595,2.428288815,512.5220496,3580.719464
-15,30,0.034465955,OPVTypical8,4595,2.446401167,489.5600595,3542.332754
