Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
-34,20,0.100965986,OPVTypical2,4595,1.024040608,395.0131705,1213.237831
-32,26,0.091547052,OPVTypical2,4595,1.024474253,436.7248829,1344.55514
-32,28,0.10696512,OPVTypical2,4595,1.025281454,378.3546199,1167.930638
-32,21,0.084177126,OPVTypical2,4595,1.015480129,472.9307478,1449.998243
-32,22,0.085727349,OPVTypical2,4595,1.018137307,461.5340406,1423.687481
-31,25,0.086742306,OPVTypical2,4595,1.019968544,459.2874054,1410.596663
-30,22,0.080673544,OPVTypical2,4595,1.01288291,490.8414593,1513.419903
-29,23,0.08129367,OPVTypical2,4595,1.013445657,486.8294853,1502.110478
-29,24,0.082304112,OPVTypical2,4595,1.017932248,482.4382981,1485.537162
-29,25,0.083438681,OPVTypical2,4595,1.017420262,487.0500426,1467.62768
-28,26,0.082506266,OPVTypical2,4595,1.015291993,501.1155415,1494.209108
-28,27,0.083389222,OPVTypical2,4595,1.017302816,491.0636313,1474.85253
-28,21,0.077372627,OPVTypical2,4595,1.01364166,509.2933665,1577.625291
-26,25,0.080136015,OPVTypical2,4595,1.014200893,505.2152735,1537.390674
-25,20,0.07406584,OPVTypical2,4595,1.013961685,532.0066799,1649.765184
-24,23,0.075697105,OPVTypical2,4595,1.019925945,534.5869979,1617.035591
-23,28,0.07945082,OPVTypical2,4595,1.012885289,513.3489454,1528.603504
-22,26,0.076098715,OPVTypical2,4595,1.010423228,539.4168738,1608.525395
-22,26,0.076098715,OPVTypical2,4595,1.010423228,539.4168738,1608.525395
-22,25,0.075427247,OPVTypical2,4595,1.012458206,540.1500976,1626.38733
-21,27,0.07759079,OPVTypical2,4595,1.01324115,524.0676433,1566.363562
-21,23,0.075434735,OPVTypical2,4595,1.012881534,546.2980491,1629.055899
-21,28,0.079204268,OPVTypical2,4595,1.011853606,519.1517979,1529.088741
-20,29,0.08034039,OPVTypical2,4595,1.011620827,510.6628826,1509.038579
-20,26,0.076051917,OPVTypical2,4595,1.012741612,540.1042159,1605.309756
-20,24,0.076613376,OPVTypical2,4595,1.013572035,532.9360301,1599.54225
-20,20,0.075758426,OPVTypical2,4595,1.012782335,543.5894367,1622.649176
-19,24,0.077847285,OPVTypical2,4595,1.017200835,531.8957508,1571.588296
-18,29,0.076517768,OPVTypical2,4595,1.011812588,528.7079637,1589.462054
-18,30,0.078676749,OPVTypical2,4595,1.013442833,515.026061,1545.846431
-18,21,0.077434938,OPVTypical2,4595,1.012233775,547.5243823,1600.429688
-18,25,0.077938458,OPVTypical2,4595,1.015934592,533.1091584,1565.639087
-18,30,0.078676749,OPVTypical2,4595,1.013442833,515.026061,1545.846431
-17,30,0.079998638,OPVTypical2,4595,1.014614619,497.9868221,1521.656795
-17,25,0.079046357,OPVTypical2,4595,1.018113193,517.5220149,1539.331897
-16,28,0.080797376,OPVTypical2,4595,1.01069136,497.1527163,1507.687644
-16,25,0.080030148,OPVTypical2,4595,1.018460355,512.5220496,1516.557879
-15,30,0.082306934,OPVTypical2,4595,1.014465033,489.5600595,1483.764995
-15,30,0.082306934,OPVTypical2,4595,1.014465033,489.5600595,1483.764995
-14,26,0.081081627,OPVTypical2,4595,1.016119513,493.0839411,1504.945477
-14,27,0.0809034,OPVTypical2,4595,1.013758371,493.7160021,1509.838757
-14,30,0.083067195,OPVTypical2,4595,1.016530751,489.6328384,1471.41527
-13,27,0.081202411,OPVTypical2,4595,1.013087628,490.7064054,1506.362426
-12,21,0.082794139,OPVTypical2,4595,1.019292499,472.0700907,1465.707107
