Irradiance,Enhanced
0,0.274515204
50,1.634486517
100,1.044334481
150,0.827940333
200,0.745238095
250,1.00404475
300,0.743344808
350,1.211130235
400,1.00195066
450,1.104776248
500,1.309741824
550,1.11582903
600,1.211732645
650,1.087802639
700,1.138479633
750,1.138479633
800,1.063846816
850,1.067986231
900,0.972360872
950,0.988841079
1000,1
